FeedbackID,WebAppID,CategoryID,SubjectCleaned,MainTextCleaned,SubjectSpam,MainTextSpam,SpamStatus
1,1,1,Subject,MainText,2,2,2
2,1,2,Subject,MainText,2,2,2
3004,99,5,feature request,Make it like better with a giant pig bigger than king pig ,0,0,0
3005,99,4,information giving,These screens are small enough without crowding in more stuff Tuck it in with the rest of the add ons I never use and please get it out of my face ,0,0,0
3006,99,4,information giving,Dear Rovio If you absolutely must continue trying to squeeze dollars from your customers this way at least have the decency to include an opt out for those like myself who are absolutely NOT going to spend an amount equal to what I paid for the app in the first place just to have some gimmicky and expendable in game item ,0,0,0
3007,99,2,problem discovery,App crashes when new power up notice pops up ,0,0,0
3008,99,4,information giving,It would be nice to have an update that didn t crash the app ,0,0,0
3009,99,2,problem discovery,App crashes with new release ,0,0,0
3010,99,4,information giving,I have had no problems with any of the versions so far ,0,0,0
3011,99,5,feature request,Please bring back the trajectory line or at least make it to where you can turn it on or off ,0,0,0
3012,99,2,problem discovery,This is not worth buying it will crash right from the beginning ,0,0,0
3013,99,5,feature request,I will say you should make shock so close to the other buttons because I like to use the birds you provide ,0,0,0
3014,99,4,information giving,That needs to change ,0,0,0
3015,99,4,information giving,Similarly every single app that gets updated to a beautiful ios7 look is one I will not update ,0,0,0
3016,99,2,problem discovery,This should Really be fixed ,0,0,0
3017,99,2,problem discovery,And you still can t upload videos ,0,0,0
3018,99,2,problem discovery,Is it just me or is anyone else having the problem where the app won t even open at all ,0,0,0
3019,99,5,feature request,I need to save my photos ,0,0,0
3020,99,4,information giving,I ve never had any issues with it and have been a user for years ,0,0,0
3021,99,2,problem discovery,The app doesn t work unless you have the iOS 7 update and not all devices have that update so they should really fix this ,0,0,0
3022,99,4,information giving,I now see that you must have IO7 or better for the app ,0,0,0
3023,99,5,feature request,Please please give us the ability to rename files from this app ,0,0,0
3024,99,4,information giving,I ll rate 5 once you can view ' ',0,0,0
3025,99,4,information giving,I still cannot believe that the team at Dropbox STILL hasn ,0,0,0
3026,99,2,problem discovery,Sez needs software update but Apple sez software is uptodate ,0,0,0
3027,99,4,information giving,It would allow me to get work done on my phone and edit files on the go for projects ,0,0,0
3028,99,5,feature request,Only thing is they need to offer better customized pricing for upgrade plans ,0,0,0
3029,99,2,problem discovery,Please please FIX this video upload issue ,0,0,0
3030,99,4,information giving, nI would turn off automatic uploads but i need my regular photos to upload ,0,0,0
3031,99,4,information giving,Please please please these are easy changes it used to be this way so make it go back ,0,0,0
3032,99,2,problem discovery,Please fix the syncing issues with the iPad app ,0,0,0
3033,99,2,problem discovery,Trying to automate it would be good if it worked but it doesn t ,0,0,0
3034,99,4,information seeking,Why everything is so white ,0,0,0
3035,99,4,information giving,The pictures show a white background just like the iOS7 photo app ,0,0,0
