Id,Subject,MainText,Text,TextTokens,TextTopics,TopicPercentages
99_3005_4,information giving,These screens are small enough without crowding in more stuff Tuck it in with the rest of the add ons I never use and please get it out of my face ,information giving These screens are small enough without crowding in more stuff Tuck it in with the rest of the add ons I never use and please get it out of my face,"['screen', 'small', 'stuff', 'tuck', 'rest', 'add', 'ons', 'face']",[44],[0.8802415]
99_3006_4,information giving,Dear Rovio If you absolutely must continue trying to squeeze dollars from your customers this way at least have the decency to include an opt out for those like myself who are absolutely NOT going to spend an amount equal to what I paid for the app in the first place just to have some gimmicky and expendable in game item ,information giving Dear Rovio If you absolutely must continue trying to squeeze dollars from your customers this way at least have the decency to include an opt out for those like myself who are absolutely NOT going to spend an amount equal to what I paid for the app in the first place just to have some gimmicky and expendable in game item,"['dollar', 'customer', 'way', 'decency', 'opt', 'equal', 'app', 'place', 'gimmicky', 'expendable', 'game', 'item']",[42],[0.76436955]
99_3008_4,information giving,It would be nice to have an update that didn t crash the app ,information giving It would be nice to have an update that didn t crash the app,"['nice', 'update', 'didn', 'crash', 'app']",[24],[0.3146493]
99_3010_4,information giving,I have had no problems with any of the versions so far ,information giving I have had no problems with any of the versions so far,"['problem', 'version']","[42, 60]","[0.32732463, 0.32708764]"
99_3014_4,information giving,That needs to change ,information giving That needs to change,[],[],[]
99_3015_4,information giving,Similarly every single app that gets updated to a beautiful ios7 look is one I will not update ,information giving Similarly every single app that gets updated to a beautiful ios7 look is one I will not update,"['single', 'app', 'beautiful', 'ios7', 'update']",[15],[0.31549987]
99_3020_4,information giving,I ve never had any issues with it and have been a user for years ,information giving I ve never had any issues with it and have been a user for years,"['issue', 'user', 'year']",[],[]
99_3022_4,information giving,I now see that you must have IO7 or better for the app ,information giving I now see that you must have IO7 or better for the app,"['well', 'app']",[2],[0.64919704]
99_3024_4,information giving,I ll rate 5 once you can view ' ',information giving I ll rate 5 once you can view ' ',['5'],[12],[0.48386467]
99_3025_4,information giving,I still cannot believe that the team at Dropbox STILL hasn ,information giving I still cannot believe that the team at Dropbox STILL hasn,"['team', 'Dropbox']","[64, 11]","[0.3266051, 0.32627058]"
99_3027_4,information giving,It would allow me to get work done on my phone and edit files on the go for projects ,information giving It would allow me to get work done on my phone and edit files on the go for projects,"['work', 'phone', 'file', 'project']",[],[]
99_3030_4,information giving, nI would turn off automatic uploads but i need my regular photos to upload ,information giving  nI would turn off automatic uploads but i need my regular photos to upload,"['automatic', 'upload', 'regular', 'photo']",[64],[0.5904963]
99_3031_4,information giving,Please please please these are easy changes it used to be this way so make it go back ,information giving Please please please these are easy changes it used to be this way so make it go back,"['easy', 'change', 'way']",[26],[0.4936156]
99_3034_4,information seeking,Why everything is so white ,information seeking Why everything is so white,['white'],[52],[0.4814197]
99_3035_4,information giving,The pictures show a white background just like the iOS7 photo app ,information giving The pictures show a white background just like the iOS7 photo app,"['picture', 'white', 'background', 'iOS7', 'photo', 'app']",[52],[0.6994274]
99_3039_4,information giving,Holidays are here and I m a disorganized mess without EN ,information giving Holidays are here and I m a disorganized mess without EN,"['holiday', 'disorganized', 'mess']",[42],[0.48294863]
99_3041_4,information giving,And it s all available on iPad and iPhone ,information giving And it s all available on iPad and iPhone,"['available', 'iPad', 'iPhone']",[66],[0.6666666666666666]
99_3044_4,information giving,Contacted Evernote support they are working on the fix ,information giving Contacted Evernote support they are working on the fix,"['Evernote', 'support', 'fix']",[31],[0.49164614]
99_3045_4,information giving,240 notes I can t see ,information giving 240 notes I can t see,"['240', 'note']",[49],[0.48312983]
99_3052_4,information giving,Got the latest update and now it will not open on my phone ,information giving Got the latest update and now it will not open on my phone,"['late', 'update', 'phone']",[],[]
99_3053_4,information giving,Please fix this ASAP ,information giving Please fix this ASAP,[],[],[]
99_3055_4,information giving,Please fix it ,information giving Please fix it,[],[],[]
99_3056_4,information giving,The latest interface is substandard from a useability standpoint besides being ugly and the latest version will not launch on my iPhone 5 ,information giving The latest interface is substandard from a useability standpoint besides being ugly and the latest version will not launch on my iPhone 5,"['late', 'interface', 'substandard', 'useability', 'standpoint', 'ugly', 'late', 'version']",[26],[0.7679302]
99_3057_4,information giving,Do not update ,information giving Do not update,['update'],[20],[0.4837061]
99_3060_4,information giving,Please fix it or at least let us know you are working on this ,information giving Please fix it or at least let us know you are working on this,[],[],[]
99_3062_4,information giving,If you are having problems with the latest Evernote update here s the fix n nIf you installed the latest update Evernote is still crashing n nGo to Settings Privacy Contacts look for Evernote select OFF ,information giving If you are having problems with the latest Evernote update here s the fix n nIf you installed the latest update Evernote is still crashing n nGo to Settings Privacy Contacts look for Evernote select OFF,"['problem', 'late', 'Evernote', 'update', 'fix', 'late', 'update', 'Evernote', 'ngo', 'Evernote', 'select']",[31],[0.66240793]
99_3064_4,information giving,Evernote please fix ASAP ,information giving Evernote please fix ASAP,['Evernote'],[31],[0.48369816]
99_3065_4,information giving,I will not use a note application I can t trust not to lose my information ,information giving I will not use a note application I can t trust not to lose my information,"['note', 'application', 'trust']","[6, 49]","[0.32774356, 0.32744294]"
99_3071_4,information seeking,How could this app fail so completely ,information seeking How could this app fail so completely,['app'],[16],[0.5057079]
99_3072_4,information seeking,They made it so complicated n difficult to use it was a lot more easier few updates ago I have no idea how to add a note ,information seeking They made it so complicated n difficult to use it was a lot more easier few updates ago I have no idea how to add a note,"['complicated', 'difficult', 'easy', 'update', 'idea', 'note']",[],[]
99_3077_4,information giving,Do not upgrade on iPad ,information giving Do not upgrade on iPad,['iPad'],"[65, 66]","[0.4816671, 1.0]"
99_3080_4,information giving,Do not update ,information giving Do not update,['update'],[20],[0.4837061]
99_3083_4,information giving,I have tried to delete and reinstall but that didn t fix the problem ,information giving I have tried to delete and reinstall but that didn t fix the problem,"['reinstall', 'didn', 'fix', 'problem']",[],[]
99_3086_4,information giving,The new version did not crash in my hand because I deleted it in 5 min and went back to the old version by syncing with iTunes library on my PC ,information giving The new version did not crash in my hand because I deleted it in 5 min and went back to the old version by syncing with iTunes library on my PC,"['new', 'version', 'hand', '5', 'old', 'version', 'iTunes', 'library', 'pc']",[],[]
99_3093_4,information giving, nThought I resolved problem when I uninstalled and reinstalled app on my iPhone ,information giving  nThought I resolved problem when I uninstalled and reinstalled app on my iPhone,"['problem', 'app']",[42],[0.6495697]
99_3097_4,information seeking,Where is your QA ,information seeking Where is your QA,[],[],[]
99_3100_4,information giving,I even have the Premium version and bought several books on how to use the tool ,information giving I even have the Premium version and bought several books on how to use the tool,"['Premium', 'version', 'book', 'tool']",[],[]
99_3101_4,information giving,I think the power just takes a while to understand for each user ,information giving I think the power just takes a while to understand for each user,"['power', 'user']","[59, 29]","[0.3284044, 0.3283872]"
99_3102_4,information giving,Extending the brand into notebooks backpacks coffee mugs and T shirts works for Starbucks because the coffee tastes good and is reliably available ,information giving Extending the brand into notebooks backpacks coffee mugs and T shirts works for Starbucks because the coffee tastes good and is reliably available,"['brand', 'notebook', 'coffee', 'mug', 'work', 'Starbucks', 'coffee', 'good', 'available']",[33],[0.59529674]
99_3110_4,information giving,I like it and it s available in all platforms ,information giving I like it and it s available in all platforms,"['available', 'platform']",[49],[0.6496882]
99_3124_4,information giving,You must get this app one of the best ,information giving You must get this app one of the best,"['app', 'good']",[18],[0.6680063]
99_3125_4,information giving,Probably the best app available so easy to use and it makes a lot of fun nLove using it on my iPhone too ,information giving Probably the best app available so easy to use and it makes a lot of fun nLove using it on my iPhone too,"['good', 'app', 'available', 'easy', 'fun', 'nLove']",[],[]
99_3126_4,information giving,Also has practical uses show pictures to hair stylist pin recipes so you know what you need at the store etc ,information giving Also has practical uses show pictures to hair stylist pin recipes so you know what you need at the store etc,"['practical', 'use', 'picture', 'stylist', 'pin', 'recipe', 'store']","[30, 54]","[0.37257057, 0.3722049]"
99_3127_4,information giving,I love this app i think it is the best out there i recommend this to anyone who loves to kill time on their computer ,information giving I love this app i think it is the best out there i recommend this to anyone who loves to kill time on their computer,"['app', 'good', 'time', 'computer']",[18],[0.3785242]
99_3130_4,information giving,I do not feel the need to be notified when someone creates a new board ,information giving I do not feel the need to be notified when someone creates a new board,"['need', 'new', 'board']","[39, 68]","[0.49107903, 0.3333333333333333]"
99_3131_4,information giving,I haven t had any problems with this app ,information giving I haven t had any problems with this app,"['haven', 'problem', 'app']",[42],[0.6495499]
99_3132_4,information giving,It is so much fun and gives you so many ideas of how to approach life ,information giving It is so much fun and gives you so many ideas of how to approach life,"['fun', 'idea', 'life']",[68],[0.3333333333333333]
99_3133_4,information giving,There are also great cleaning ideas and personal ideas like how to make your own facial scrub ,information giving There are also great cleaning ideas and personal ideas like how to make your own facial scrub,"['great', 'idea', 'personal', 'idea', 'facial', 'scrub']",[68],[0.3333333333333333]
99_3136_4,information giving,Thank you for adding more secret boards ,information giving Thank you for adding more secret boards,"['secret', 'board']","[19, 31, 68]","[0.32965145, 0.3278306, 0.5]"
99_3137_4,information giving,I have lots of recipes on here and when I m trying to find that recipe I made a year ago so I can make dinner it s frustrating that I can t search for it and find it quickly ,information giving I have lots of recipes on here and when I m trying to find that recipe I made a year ago so I can make dinner it s frustrating that I can t search for it and find it quickly,"['lot', 'recipe', 'recipe', 'year', 'dinner', 'frustrating']",[30],[0.42013878]
99_3139_4,information giving,You can use it for anything and it s so easy to use ,information giving You can use it for anything and it s so easy to use,['easy'],[26],[0.48754585]
99_3142_4,information giving,It s always up to date and never crashes ,information giving It s always up to date and never crashes,['date'],[52],[0.48142734]
99_3145_4,information giving,Works smoothly and easily every time I use the app can t say that about all apps ,information giving Works smoothly and easily every time I use the app can t say that about all apps,"['work', 'time', 'app', 'app']",[16],[0.3805021]
99_3146_4,information giving,Love this app and it s not crashing for me anymore ,information giving Love this app and it s not crashing for me anymore,"['Love', 'app']",[51],[0.6528572]
99_3148_4,information giving,I love that you are now able to pin from your clipboard ,information giving I love that you are now able to pin from your clipboard,"['able', 'clipboard']",[47],[0.6483199]
99_3149_4,information giving,I like everything about this app except the fact that I can t pin anything from my iPhone ,information giving I like everything about this app except the fact that I can t pin anything from my iPhone,"['app', 'fact']",[15],[0.6496578]
99_3150_4,information seeking,My only complaint would be that if a pin is reported as a possible threat why isn t it removed ,information seeking My only complaint would be that if a pin is reported as a possible threat why isn t it removed,"['complaint', 'pin', 'possible', 'threat']",[],[]
99_3151_4,information giving,Haven t had any problems on iPhone 5 ,information giving Haven t had any problems on iPhone 5,['problem'],[42],[0.48295513]
99_3152_4,information giving,When I wake up in the middle of the night I just grab my phone and start pinning ,information giving When I wake up in the middle of the night I just grab my phone and start pinning,"['middle', 'night', 'phone']",[],[]
99_3156_4,information giving,I ve never had an issue with it crashing ,information giving I ve never had an issue with it crashing,['issue'],[12],[0.48386407]
99_3157_4,information giving,My only problem with it is the fact I say just 2 more minutes and they turn into hours ,information giving My only problem with it is the fact I say just 2 more minutes and they turn into hours,"['problem', 'fact', 'minute', 'hour']",[54],[0.3708199]
99_3159_4,information giving,I might use it 50 times a day just for home made goodies alone ,information giving I might use it 50 times a day just for home made goodies alone,"['50', 'time', 'day', 'home', 'goody']",[4],[0.3342891]
99_3160_4,information giving, n Absolutely HATE the new way they list the categories with a picture please go back to the old list or let us choose which we d like to use ,information giving  n Absolutely HATE the new way they list the categories with a picture please go back to the old list or let us choose which we d like to use,"['new', 'way', 'category', 'picture', 'old', 'list']","[39, 55]","[0.39631844, 0.31148568]"
99_3161_4,information giving,They updated the app and it is a lot better ,information giving They updated the app and it is a lot better,"['app', 'well']",[2],[0.649206]
