Id,TextTopics,TopicPercentages
99_3005_4,44,0.8802415
99_3006_4,42,0.76436955
99_3008_4,24,0.3146493
99_3015_4,15,0.3154999
99_3022_4,2,0.649197
99_3024_4,12,0.48386467
99_3030_4,64,0.5904963
99_3031_4,26,0.4936156
99_3034_4,52,0.48141977
99_3035_4,52,0.6994274
99_3039_4,42,0.48294863
99_3041_4,66,0.6666666666666666
99_3044_4,31,0.49164614
99_3045_4,49,0.48312983
99_3056_4,26,0.7679302
99_3057_4,20,0.4837061
99_3062_4,31,0.66240793
99_3064_4,31,0.48369816
99_3071_4,16,0.50570786
99_3080_4,20,0.4837061
99_3093_4,42,0.6495697
99_3102_4,33,0.5952967
99_3110_4,49,0.64968824
99_3124_4,18,0.6680063
99_3127_4,18,0.3785242
99_3131_4,42,0.6495499
99_3132_4,68,0.3333333333333333
99_3133_4,68,0.3333333333333333
99_3137_4,30,0.4201388
99_3139_4,26,0.48754585
99_3142_4,52,0.48142734
99_3145_4,16,0.38050207
99_3146_4,51,0.65285724
99_3148_4,47,0.6483199
99_3149_4,15,0.6496578
99_3151_4,42,0.48295513
99_3156_4,12,0.48386413
99_3157_4,54,0.3708199
99_3159_4,4,0.33428916
99_3161_4,2,0.649206
99_3162_4,12,0.48386413
99_3163_4,68,0.6666666666666666
99_3164_4,48,0.37352377
99_3165_4,63,0.39470044
99_3168_4,22,0.4830268
99_3170_4,68,0.4
99_3174_4,9,0.4821877
99_3180_4,9,0.48218912
99_3190_4,12,0.48386413
99_3192_4,7,0.49503502
99_3193_4,53,0.308525
99_3199_4,16,0.5057063
99_3200_4,25,0.74188745
99_3206_4,28,0.7061021
99_3210_4,16,0.6649919
99_3211_4,68,0.3333333333333333
99_3212_4,59,0.48457146
99_3228_4,14,0.47719985
99_3229_4,16,0.5057004
99_3230_4,49,0.4831293
99_3240_4,52,0.59031945
99_3242_4,68,0.4
99_3249_4,2,0.39474657
99_3252_4,38,0.72195816
99_3255_4,2,0.48241884
99_3258_4,68,0.3333333333333333
99_3259_4,12,0.7510726
99_3263_4,68,0.6666666666666666
99_3268_4,36,0.8654922
99_3269_4,32,0.32406047
99_3270_4,44,0.33097842
99_3275_4,32,0.4827482
99_3282_4,62,0.6209019
99_3283_4,59,0.48457146
99_3285_4,61,0.77042913
99_3287_4,63,0.6490262
99_3289_4,32,0.48275456
99_3290_4,17,0.73463833
99_3291_4,7,0.7418518
99_3293_4,23,0.48211038
99_3295_4,39,0.48259723
99_3296_4,48,0.61698145
99_3299_4,47,0.3719125
99_3300_4,33,0.44894588
99_3302_4,18,0.3271815
99_3303_4,42,0.48295513
99_3304_4,26,0.3318574
99_3307_4,19,0.34214377
99_3309_4,42,0.4829552
99_3311_4,25,0.5901519
99_3316_4,39,0.49108228
99_3318_4,59,0.4845704
99_3323_4,16,0.5057041
99_3329_4,19,0.3015847
99_3336_4,20,0.49137223
99_3337_4,3,0.86557657
99_3342_4,44,0.42416403
99_3349_4,26,0.62014854
99_3353_4,16,0.5057061
99_3360_4,33,0.48240444
99_3364_4,68,0.42857142857142855
99_3375_4,21,0.4810183
99_3379_4,59,0.395667
99_3381_4,27,0.6167178
99_3386_4,68,0.3333333333333333
99_3388_4,31,0.86598945
99_3390_4,68,0.3333333333333333
99_3399_4,12,0.48562557
99_3400_4,68,0.3333333333333333
99_3403_4,68,0.3333333333333333
99_3413_4,68,0.6666666666666666
99_3415_4,52,0.56488156
99_3417_4,3,0.42429915
99_3422_4,60,0.82169455
99_3431_4,16,0.5057079
99_3433_4,57,0.5648098
99_3445_4,55,0.6485693
99_3450_4,46,0.4838521
99_3465_4,61,0.64881724
99_3476_4,61,0.64881974
99_3477_4,12,0.6501838
99_3479_4,64,0.32567436
99_3480_4,42,0.4829552
99_3481_4,27,0.5683666
99_3486_4,42,0.4829552
99_3492_4,38,0.48314208
99_3508_4,33,0.64918673
99_3509_4,6,0.48357216
99_3512_4,42,0.4829552
99_3515_4,46,0.4431296
99_3517_4,13,0.57380086
99_3521_4,9,0.30530024
99_3533_4,48,0.5746531
99_3535_4,16,0.5057069
99_3546_4,16,0.50570786
99_3549_4,16,0.5057061
99_3559_4,12,0.5913271
99_3561_4,21,0.6572964
99_3564_4,19,0.32832947
99_3566_4,42,0.4829552
99_3567_4,19,0.33582658
99_3568_4,22,0.48304033
99_3569_4,32,0.48275456
99_3570_4,12,0.40955403
99_3571_4,22,0.46027294
99_3572_4,16,0.5056976
99_3573_4,26,0.4336256
99_3578_4,32,0.54115796
99_3579_4,53,0.55042595
99_3593_4,62,0.481395
99_3594_4,51,0.49580377
99_3597_4,42,0.6495697
99_3603_4,16,0.505707
99_3612_4,6,0.48357332
99_3620_4,23,0.40470406
99_3627_4,30,0.64390624
99_3629_4,32,0.48275438
99_3630_4,37,0.45211422
99_3635_4,68,0.3333333333333333
99_3640_4,51,0.47765285
99_3644_4,19,0.31873375
99_3651_4,18,0.5101561
99_3660_4,24,0.8220507
99_3664_4,31,0.6500737
99_3666_4,16,0.417073
99_3667_4,2,0.48241404
99_3668_4,13,0.5806404
99_3670_4,23,0.482103
99_3676_4,42,0.4829552
99_3678_4,13,0.4830595
99_3681_4,40,0.48266688
99_3683_4,56,0.65750015
99_3696_4,53,0.8484585
99_3699_4,42,0.565409
99_3703_4,39,0.48260152
99_3705_4,17,0.4823009
99_3706_4,18,0.60208434
99_3712_4,33,0.793262
99_3713_4,49,0.42465517
99_3719_4,63,0.60415214
99_3720_4,13,0.4830595
99_3724_4,55,0.54169446
99_3729_4,13,0.62166125
99_3735_4,61,0.8214342
99_3738_4,53,0.6203261
99_3741_4,35,0.9484323
99_3753_4,26,0.48754585
99_3756_4,49,0.73506314
99_3757_4,33,0.32875076
99_3760_4,26,0.39685556
99_3769_4,16,0.4073578
99_3771_4,31,0.4836982
99_3776_4,48,0.32284105
99_3788_4,32,0.48275456
99_3791_4,20,0.4837061
99_3795_4,14,0.72180206
99_3796_4,49,0.6496887
99_3798_4,28,0.35720396
99_3801_4,37,0.4845691
99_3806_4,48,0.46573913
99_3807_4,16,0.50570786
99_3808_4,16,0.6657699
99_3812_4,68,0.3333333333333333
99_3813_4,68,0.3333333333333333
99_3820_4,68,0.5
99_3821_4,16,0.5057061
99_3823_4,55,0.5613693
99_3829_4,68,0.3333333333333333
99_3834_4,12,0.49173394
99_3836_4,54,0.48323065
99_3837_4,42,0.4829552
99_3839_4,33,0.6491957
99_3842_4,59,0.6506639
99_3846_4,59,0.46793714
99_3851_4,10,0.49364924
99_3861_4,32,0.32847553
99_3862_4,30,0.37541464
99_3864_4,42,0.6495697
99_3865_4,12,0.6501771
99_3873_4,68,0.3333333333333333
99_3875_4,20,0.4837061
99_3876_4,66,0.3333333333333333
99_3889_4,42,0.48295513
99_3890_4,62,0.7678179
99_3891_4,68,0.4
99_3894_4,42,0.4829552
99_3900_4,61,0.49527466
99_3901_4,68,0.3333333333333333
99_3909_4,63,0.6490284
99_3915_4,20,0.3953088
99_3921_4,16,0.5057032
99_3923_4,30,0.65057087
99_3925_4,33,0.39314994
99_3927_4,59,0.45980513
99_3931_4,47,0.35914534
99_3932_4,61,0.42421386
99_3938_4,68,0.3333333333333333
99_3945_4,30,0.5915329
99_3947_4,68,0.3333333333333333
99_3949_4,57,0.48118696
99_3951_4,42,0.4829552
99_3954_4,38,0.4831421
99_3958_4,68,0.3333333333333333
99_3959_4,42,0.64956445
99_3960_4,59,0.38243
99_3962_4,22,0.6496279
99_3965_4,48,0.66092926
