Id,TextTopics,TopicPercentages
99_3007_2,45,0.4932523
99_3009_2,78,0.40844437
99_3016_2,78,0.5432902
99_3017_2,15,0.683243
99_3018_2,78,0.521328
99_3026_2,76,0.8828161
99_3033_2,7,0.68357277
99_3038_2,63,0.79392487
99_3040_2,46,0.4966873
99_3042_2,28,0.46938878
99_3043_2,61,0.68367827
99_3046_2,85,0.49835625
99_3048_2,78,0.698517
99_3049_2,28,0.8438269
99_3051_2,78,0.5432902
99_3054_2,78,0.5432902
99_3058_2,30,0.43630907
99_3059_2,79,0.4113355
99_3061_2,76,0.7639164
99_3063_2,28,0.68458617
99_3067_2,78,0.5432902
99_3068_2,79,0.68324476
99_3069_2,78,0.6717651
99_3070_2,11,0.8429691
99_3073_2,18,0.5097745
99_3074_2,75,0.6875971
99_3075_2,81,0.6834021
99_3076_2,47,0.67493814
99_3078_2,46,0.8428024
99_3079_2,78,0.77499264
99_3081_2,61,0.68368053
99_3084_2,78,0.5928874
99_3087_2,14,0.69883066
99_3088_2,89,0.6883649
99_3089_2,82,0.6932868
99_3090_2,78,0.5432902
99_3091_2,35,0.8189099
99_3092_2,15,0.6008999
99_3095_2,54,0.68290746
99_3096_2,82,0.5974179
99_3098_2,89,0.7674148
99_3099_2,30,0.5729284
99_3104_2,22,0.8112125
99_3105_2,85,0.5095852
99_3106_2,78,0.54329026
99_3107_2,78,0.4702975
99_3108_2,78,0.698517
99_3109_2,45,0.76354367
99_3111_2,13,0.44138917
99_3112_2,78,0.5432902
99_3116_2,61,0.60934913
99_3118_2,85,0.53542817
99_3119_2,75,0.49554446
99_3120_2,76,0.34396803
99_3122_2,76,0.5208033
99_3128_2,15,0.30393818
99_3134_2,75,0.38470724
99_3138_2,78,0.77499276
99_3140_2,41,0.49662447
99_3143_2,70,0.43341053
99_3144_2,7,0.44236895
99_3153_2,78,0.69851714
99_3155_2,86,0.6826434
99_3158_2,89,0.32373083
99_3169_2,30,0.49921143
99_3171_2,78,0.3218147
99_3172_2,2,0.65997845
99_3175_2,71,0.68396336
99_3176_2,2,0.88249254
99_3177_2,28,0.68458724
99_3179_2,65,0.60411286
99_3181_2,78,0.5432902
99_3182_2,64,0.8115851
99_3183_2,78,0.6022486
99_3184_2,3,0.6836337
99_3187_2,78,0.6617315
99_3189_2,24,0.7531225
99_3202_2,78,0.5186953
99_3203_2,78,0.5432902
99_3204_2,78,0.5319948
99_3205_2,40,0.8826683
99_3207_2,17,0.39299735
99_3208_2,78,0.7749927
99_3209_2,78,0.698517
99_3213_2,60,0.81149626
99_3214_2,60,0.7636724
99_3215_2,60,0.60915893
99_3217_2,60,0.76367944
99_3218_2,85,0.6827798
99_3219_2,60,0.5989488
99_3220_2,78,0.7749927
99_3223_2,60,0.48981717
99_3224_2,60,0.68335855
99_3225_2,60,0.86580247
99_3226_2,78,0.6985171
99_3227_2,60,0.5100155
99_3232_2,71,0.48497507
99_3234_2,75,0.4591502
99_3237_2,90,0.45552105
99_3238_2,72,0.47975865
99_3239_2,75,0.3056776
99_3243_2,75,0.49170312
99_3244_2,89,0.6883648
99_3245_2,78,0.69851714
99_3248_2,7,0.49045333
99_3250_2,78,0.5432902
99_3253_2,50,0.60120547
99_3256_2,71,0.76412684
99_3271_2,45,0.6831761
99_3272_2,45,0.56559956
99_3278_2,63,0.5890597
99_3279_2,78,0.5432902
99_3297_2,72,0.31793764
99_3301_2,78,0.4482609
99_3306_2,78,0.698517
99_3313_2,89,0.7674159
99_3319_2,89,0.36957136
99_3320_2,89,0.6883647
99_3324_2,50,0.60844034
99_3327_2,90,0.7634303
99_3328_2,61,0.8659378
99_3332_2,71,0.30338025
99_3335_2,41,0.33737436
99_3341_2,45,0.7635317
99_3343_2,18,0.8656666
99_3351_2,78,0.6985129
99_3352_2,78,0.5432902
99_3356_2,89,0.36291987
99_3361_2,18,0.81130564
99_3366_2,42,0.34724984
99_3367_2,71,0.6839634
99_3368_2,78,0.698517
99_3371_2,41,0.6830057
99_3372_2,78,0.69851714
99_3373_2,78,0.5432902
99_3374_2,78,0.54329026
99_3376_2,78,0.47350776
99_3377_2,78,0.5432902
99_3384_2,78,0.54329026
99_3387_2,7,0.68357277
99_3394_2,41,0.9279364
99_3396_2,61,0.36977255
99_3397_2,78,0.5432902
99_3398_2,3,0.50199443
99_3405_2,75,0.60362744
99_3410_2,42,0.70462847
99_3411_2,89,0.38409224
99_3421_2,44,0.73187023
99_3424_2,22,0.37106678
99_3426_2,30,0.48493052
99_3427_2,50,0.37148035
99_3428_2,41,0.6805906
99_3429_2,78,0.5432902
99_3430_2,72,0.56208485
99_3432_2,71,0.68396103
99_3435_2,60,0.4966761
99_3436_2,78,0.6985171
99_3438_2,40,0.67109495
99_3439_2,47,0.683371
99_3444_2,75,0.34586143
99_3446_2,78,0.77499276
99_3447_2,78,0.5432902
99_3454_2,30,0.6216766
99_3457_2,78,0.7246378
99_3468_2,42,0.6833203
99_3470_2,78,0.5432902
99_3471_2,82,0.3516361
99_3473_2,51,0.33892584
99_3478_2,78,0.5432902
99_3483_2,75,0.47022435
99_3487_2,64,0.40927565
99_3489_2,78,0.37488118
99_3491_2,30,0.7999909
99_3493_2,42,0.7636269
99_3494_2,15,0.6832499
99_3496_2,15,0.61917835
99_3497_2,78,0.5624418
99_3498_2,75,0.6391762
99_3504_2,50,0.6618946
99_3506_2,78,0.5432902
99_3510_2,78,0.3665888
99_3516_2,71,0.68395823
99_3519_2,18,0.68281555
99_3520_2,78,0.5432902
99_3523_2,78,0.4882645
99_3529_2,20,0.72427857
99_3536_2,22,0.86560065
99_3537_2,75,0.7668428
99_3541_2,78,0.7541001
99_3543_2,89,0.49740154
99_3544_2,78,0.49708176
99_3548_2,75,0.37628967
99_3550_2,93,0.4
99_3551_2,50,0.36833844
99_3554_2,78,0.6130713
99_3556_2,75,0.33753544
99_3557_2,79,0.6832783
99_3574_2,30,0.32451615
99_3582_2,89,0.6380364
99_3586_2,22,0.6043079
99_3588_2,30,0.4526541
99_3589_2,73,0.68309665
99_3590_2,21,0.47279954
99_3598_2,78,0.69851714
99_3605_2,71,0.6839634
99_3607_2,60,0.3861455
99_3608_2,78,0.49878153
99_3609_2,75,0.4975256
99_3610_2,71,0.68396163
99_3614_2,20,0.35464305
99_3621_2,3,0.32825932
99_3622_2,78,0.698517
99_3623_2,81,0.6833755
99_3625_2,78,0.698517
99_3626_2,78,0.5432902
99_3633_2,78,0.55531347
99_3636_2,75,0.36243427
99_3637_2,5,0.6306292
99_3639_2,4,0.477981
99_3643_2,78,0.77499276
99_3645_2,50,0.39057383
99_3646_2,78,0.5432902
99_3648_2,26,0.5778316
99_3649_2,78,0.5091448
99_3653_2,79,0.5099226
99_3655_2,9,0.88255554
99_3656_2,61,0.92808896
99_3657_2,65,0.89595604
99_3658_2,78,0.698517
99_3663_2,78,0.5432902
99_3669_2,39,0.86547524
99_3672_2,9,0.9061829
99_3674_2,15,0.8826594
99_3675_2,78,0.69851714
99_3677_2,34,0.73190266
99_3680_2,20,0.882641
99_3682_2,89,0.688365
99_3686_2,78,0.698517
99_3689_2,14,0.8825228
99_3690_2,59,0.8655705
99_3693_2,84,0.6827739
99_3694_2,89,0.68836504
99_3697_2,47,0.91486293
99_3701_2,63,0.86578286
99_3702_2,78,0.5432902
99_3708_2,6,0.68267286
99_3714_2,7,0.8827777
99_3717_2,78,0.5101769
99_3722_2,78,0.5432902
99_3726_2,78,0.5160477
99_3727_2,76,0.7639159
99_3731_2,23,0.31853694
99_3732_2,77,0.8111855
99_3737_2,71,0.7641288
99_3739_2,13,0.33819586
99_3749_2,78,0.5432902
99_3750_2,78,0.5432902
99_3751_2,78,0.5432902
99_3754_2,10,0.6620017
99_3758_2,78,0.5432902
99_3762_2,25,0.5989846
99_3767_2,4,0.65212405
99_3770_2,78,0.38254133
99_3772_2,78,0.61671907
99_3773_2,64,0.6834854
99_3774_2,63,0.48347244
99_3777_2,84,0.8824844
99_3778_2,78,0.50932497
99_3779_2,78,0.5097797
99_3781_2,73,0.6970141
99_3783_2,61,0.5102547
99_3785_2,1,0.6307748
99_3787_2,34,0.57742774
99_3792_2,24,0.88237965
99_3800_2,78,0.51513875
99_3817_2,78,0.5432902
99_3822_2,78,0.5213282
99_3833_2,78,0.5432902
99_3840_2,78,0.5432902
99_3841_2,89,0.6883645
99_3844_2,75,0.5673752
99_3848_2,78,0.69851714
99_3849_2,64,0.95330536
99_3857_2,78,0.30313215
99_3860_2,78,0.5151784
99_3867_2,75,0.3178265
99_3868_2,61,0.76391965
99_3879_2,78,0.69851696
99_3884_2,71,0.33369407
99_3886_2,60,0.6315919
99_3887_2,21,0.47477457
99_3888_2,89,0.68836397
99_3895_2,78,0.501182
99_3897_2,78,0.54329026
99_3898_2,3,0.91493255
99_3902_2,78,0.7749927
99_3908_2,78,0.77499264
99_3911_2,75,0.6875973
99_3918_2,75,0.49068186
99_3920_2,75,0.3810415
99_3929_2,9,0.7633948
99_3935_2,56,0.6085634
99_3936_2,78,0.69851714
99_3942_2,80,0.50983983
99_3950_2,76,0.81616515
99_3968_2,85,0.84293205
99_3969_2,75,0.6875973
99_3992_2,78,0.48995847
99_3993_2,78,0.698517
99_3998_2,78,0.5189685
99_3999_2,78,0.586577
99_4004_2,64,0.3019607
99_4005_2,90,0.6033158
99_4011_2,78,0.5432902
99_4016_2,75,0.5009345
99_4018_2,3,0.31685552
99_4019_2,30,0.59688455
99_4021_2,75,0.3905112
99_4024_2,3,0.305557
99_4025_2,78,0.698517
99_4026_2,78,0.69851714
99_4028_2,40,0.50478864
99_4034_2,51,0.7653875
99_4037_2,18,0.6830381
99_4038_2,47,0.86580735
99_4040_2,78,0.5432902
99_4052_2,78,0.5432902
99_4072_2,78,0.69851714
99_4078_2,2,0.4691798
99_4080_2,7,0.68357295
99_4082_2,78,0.61861825
99_4085_2,11,0.5678835
99_4090_2,11,0.40926275
99_4092_2,30,0.59258175
99_4093_2,25,0.72014433
99_4098_2,22,0.5535574
99_4128_2,19,0.6830871
99_4147_2,79,0.47213313
99_4153_2,89,0.814476
99_4157_2,78,0.54329026
99_4160_2,51,0.7653876
99_4161_2,78,0.5432902
99_4168_2,78,0.77499276
99_4171_2,20,0.52753234
99_4174_2,78,0.52132994
99_4175_2,78,0.45761243
99_4187_2,89,0.68836397
99_4192_2,78,0.77499264
99_4201_2,41,0.92190206
99_4205_2,78,0.5432902
