Id,Subject,MainText,Text,TextTokens,TextTopics,TopicPercentages
99_3007_2,problem discovery,App crashes when new power up notice pops up ,problem discovery App crashes when new power up notice pops up,"['problem', 'App', 'new', 'power', 'notice']",[138],[0.4932523]
99_3009_2,problem discovery,App crashes with new release ,problem discovery App crashes with new release,"['problem', 'App', 'new', 'release']",[171],[0.40844437]
99_3012_2,problem discovery,This is not worth buying it will crash right from the beginning ,problem discovery This is not worth buying it will crash right from the beginning,"['problem', 'worth', 'beginning']","[164, 104]","[0.44177476, 0.32467273]"
99_3016_2,problem discovery,This should Really be fixed ,problem discovery This should Really be fixed,['problem'],[171],[0.5432902]
99_3017_2,problem discovery,And you still can t upload videos ,problem discovery And you still can t upload videos,"['problem', 'video']",[108],[0.683243]
99_3018_2,problem discovery,Is it just me or is anyone else having the problem where the app won t even open at all ,problem discovery Is it just me or is anyone else having the problem where the app won t even open at all,"['problem', 'problem', 'open']",[171],[0.521328]
99_3021_2,problem discovery,The app doesn t work unless you have the iOS 7 update and not all devices have that update so they should really fix this ,problem discovery The app doesn t work unless you have the iOS 7 update and not all devices have that update so they should really fix this,"['problem', 'app', 'doesn', 'work', '7', 'update', 'device', 'update']","[171, 183]","[0.41091534, 0.37269035]"
99_3026_2,problem discovery,Sez needs software update but Apple sez software is uptodate ,problem discovery Sez needs software update but Apple sez software is uptodate,"['problem', 'software', 'update', 'Apple', 'sez', 'software', 'uptodate']",[169],[0.8828161]
99_3029_2,problem discovery,Please please FIX this video upload issue ,problem discovery Please please FIX this video upload issue,"['problem', 'video', 'issue']","[168, 108]","[0.4497191, 0.31972778]"
99_3032_2,problem discovery,Please fix the syncing issues with the iPad app ,problem discovery Please fix the syncing issues with the iPad app,"['problem', 'issue', 'iPad', 'app']","[168, 123]","[0.44406337, 0.37356415]"
99_3033_2,problem discovery,Trying to automate it would be good if it worked but it doesn t ,problem discovery Trying to automate it would be good if it worked but it doesn t,"['problem', 'good']",[100],[0.68357277]
99_3038_2,problem discovery,I ve been a loyal EN fan for years but just this week it s frozen and after reinstalling on both my iPad and iPhone it crashes each time I open it ,problem discovery I ve been a loyal EN fan for years but just this week it s frozen and after reinstalling on both my iPad and iPhone it crashes each time I open it,"['problem', 'loyal', 'fan', 'year', 'week', 'frozen', 'iPad', 'iPhone', 'time']",[156],[0.79392487]
99_3040_2,problem discovery,For some reason it doesn t quite feel user friendly to me just yet ,problem discovery For some reason it doesn t quite feel user friendly to me just yet,"['problem', 'reason', 'user', 'friendly']",[139],[0.4966873]
99_3042_2,problem discovery,Latest version crashes on launch on my iPad in iOS 7 ,problem discovery Latest version crashes on launch on my iPad in iOS 7,"['problem', 'late', 'version', 'crash', 'launch', 'iPad', '7']",[121],[0.46938878]
99_3043_2,problem discovery,I need my notes ,problem discovery I need my notes,"['problem', 'note']",[154],[0.68367827]
99_3046_2,problem discovery,It crashes all the time and the only way I can resolve is uninstall reinstall the app ,problem discovery It crashes all the time and the only way I can resolve is uninstall reinstall the app,"['problem', 'time', 'way', 'uninstall', 'reinstall', 'app']",[178],[0.49835625]
99_3047_2,problem discovery,The new version crashes on startup on my iPhone and iPad ,problem discovery The new version crashes on startup on my iPhone and iPad,"['problem', 'new', 'version', 'startup', 'iPhone', 'iPad']","[123, 184]","[0.70213616, 0.3333333333333333]"
99_3048_2,problem discovery,Deleting app and reinstalling does not work either ,problem discovery Deleting app and reinstalling does not work either,"['problem', 'app', 'reinstalling']",[171],[0.698517]
99_3049_2,problem discovery,The latest version crashes on launch for my iPhone 5s ,problem discovery The latest version crashes on launch for my iPhone 5s,"['problem', 'late', 'version', 'crash', 'launch']",[121],[0.8438269]
99_3050_2,problem discovery,This is the third update in 3 months that has crashed upon installation for me ,problem discovery This is the third update in 3 months that has crashed upon installation for me,"['problem', 'update', 'month', 'installation']","[132, 102]","[0.38069385, 0.3263815]"
99_3051_2,problem discovery,Just crashes ,problem discovery Just crashes,['problem'],[171],[0.5432902]
99_3054_2,problem discovery,Now it crashes when loading ,problem discovery Now it crashes when loading,['problem'],[171],[0.5432902]
99_3058_2,problem discovery,Latest update crashes every time on startup on 5S ,problem discovery Latest update crashes every time on startup on 5S,"['problem', 'late', 'update', 'time', 'startup', '5S']",[123],[0.43630907]
99_3059_2,problem discovery,I count on Evernote for many things across many devices but now the app just crashes on my iPhone 5 ,problem discovery I count on Evernote for many things across many devices but now the app just crashes on my iPhone 5,"['problem', 'Evernote', 'thing', 'device', 'app']",[172],[0.4113355]
99_3061_2,problem discovery,Latest update crashes ,problem discovery Latest update crashes,"['problem', 'late', 'update']",[169],[0.7639164]
99_3063_2,problem discovery,Just crashes shortly upon launch ,problem discovery Just crashes shortly upon launch,"['problem', 'launch']",[121],[0.68458617]
99_3066_2,problem discovery,Since IOS 7 2 it continues to crash upon opening ,problem discovery Since IOS 7 2 it continues to crash upon opening,"['problem', 'IOS', 'opening']","[95, 115, 184]","[0.40073308, 0.36485958, 0.3333333333333333]"
99_3067_2,problem discovery,It let me down AT THE HOSPITAL where I needed Medication List Healthcare Power of Attorney and Living Will ,problem discovery It let me down AT THE HOSPITAL where I needed Medication List Healthcare Power of Attorney and Living Will,"['problem', 'hospital']",[171],[0.5432902]
99_3068_2,problem discovery,Epic FAIL ,problem discovery Epic FAIL,"['problem', 'fail']",[172],[0.68324476]
99_3069_2,problem discovery,Don t upgrade newest version has a connectivity problem with wifi and won t open ,problem discovery Don t upgrade newest version has a connectivity problem with wifi and won t open,"['problem', 'Don', 'upgrade', 'new', 'version', 'connectivity', 'problem', 'open']",[171],[0.6717651]
99_3070_2,problem discovery,Even after clean install this app crashes over and over nGuys please test updates before releasing them ,problem discovery Even after clean install this app crashes over and over nGuys please test updates before releasing them,"['problem', 'clean', 'app', 'nGuys', 'update']",[104],[0.8429691]
99_3073_2,problem discovery,It won t remain open for more than 10 seconds before it crashes ,problem discovery It won t remain open for more than 10 seconds before it crashes,"['problem', 'open', 'second']",[111],[0.5097745]
99_3074_2,problem discovery, n nDeletion and reinstallation of the app has yet to resolve the issue ,problem discovery  n nDeletion and reinstallation of the app has yet to resolve the issue,"['reinstallation', 'app', 'issue']",[168],[0.6875971]
99_3075_2,problem discovery,App keeps freezing and then it crashes ,problem discovery App keeps freezing and then it crashes,"['problem', 'App']",[174],[0.6834021]
99_3076_2,problem discovery,But upon latest upgrade crashes on open ,problem discovery But upon latest upgrade crashes on open,"['problem', 'late', 'upgrade', 'crash', 'open']",[140],[0.67493814]
99_3078_2,problem discovery,Very disappointed I can t access my info as premium user ,problem discovery Very disappointed I can t access my info as premium user,"['problem', 'disappointed', 'info', 'premium', 'user']",[139],[0.8428024]
99_3079_2,problem discovery,The newest update crashes repeatedly ,problem discovery The newest update crashes repeatedly,"['problem', 'new', 'update']",[171],[0.77499264]
99_3081_2,problem discovery,Now I can t access any of my notes ,problem discovery Now I can t access any of my notes,"['problem', 'note']",[154],[0.68368053]
99_3082_2,problem discovery,After the latest upgrades there were issues and now it crashes and I cannot access anything ,problem discovery After the latest upgrades there were issues and now it crashes and I cannot access anything,"['problem', 'late', 'upgrade', 'issue']","[140, 168]","[0.49523064, 0.32093847]"
99_3084_2,problem discovery,New version crashes every time on iPhone 5 ,problem discovery New version crashes every time on iPhone 5,"['problem', 'new', 'version', 'time']",[171],[0.5928874]
99_3087_2,problem discovery, nThe biggest problem for the new version is people like me having 30 notebooks and 80 tags have big trouble switching between notes ,problem discovery  nThe biggest problem for the new version is people like me having 30 notebooks and 80 tags have big trouble switching between notes,"['problem', 'nthe', 'big', 'problem', 'new', 'version', 'people', '30', 'notebook', '80', 'tag', 'big', 'trouble', 'note']",[107],[0.69883066]
99_3088_2,problem discovery,You have to tap several times between each switch ,problem discovery You have to tap several times between each switch,"['problem', 'time', 'switch']",[182],[0.6883649]
99_3089_2,problem discovery, n nThe second problem is the ugly interface probably for matching the ugly icons of iOS 7 ,problem discovery  n nThe second problem is the ugly interface probably for matching the ugly icons of iOS 7,"['second', 'problem', 'ugly', 'interface', 'ugly', 'icon', '7']",[175],[0.6932868]
99_3090_2,problem discovery,It crashes ,problem discovery It crashes,['problem'],[171],[0.5432902]
99_3091_2,problem discovery,mwingerski If this development team focus on making the App WORK rather than always adding new features I might give this five stars nNew features are totally worthless if I can t even open the app after it updates nDon t bother sending a support request from within the app because no one ever reads it even if you are a premium subscriber ,problem discovery mwingerski If this development team focus on making the App WORK rather than always adding new features I might give this five stars nNew features are totally worthless if I can t even open the app after it updates nDon t bother sending a support request from within the app because no one ever reads it even if you are a premium subscriber,"['problem', 'development', 'team', 'work', 'new', 'feature', 'star', 'nNew', 'feature', 'worthless', 'app', 'nDon', 'support', 'request', 'app', 'premium', 'subscriber']",[128],[0.8189099]
99_3092_2,problem discovery,'Unable to sync' this is a past problem ,problem discovery 'Unable to sync' this is a past problem,"['problem', 'unable', 'past', 'problem']",[108],[0.6008999]
