FeedbackID,WebAppID,CategoryID,SubjectCleaned,MainTextCleaned,SubjectSpam,MainTextSpam,SpamStatus,Subjectivity,Polarity,TextTokens,Text
1,1,1,Subject,MainText,2,2,2,2,2,"['Subject', 'MainText']",Subject MainText
2,1,2,Subject,MainText,2,2,2,2,2,"['Subject', 'MainText']",Subject MainText
3004,99,5,feature request,Make it like better with a giant pig bigger than king pig ,0,0,0,2,2,"['feature', 'request', 'like', 'better', 'giant', 'pig', 'big', 'king', 'pig']",feature request Make it like better with a giant pig bigger than king pig
3005,99,4,information giving,These screens are small enough without crowding in more stuff Tuck it in with the rest of the add ons I never use and please get it out of my face ,0,0,0,2,2,"['screen', 'small', 'crowd', 'stuff', 'tuck', 'rest', 'add', 'ons', 'use', 'face']",information giving These screens are small enough without crowding in more stuff Tuck it in with the rest of the add ons I never use and please get it out of my face
3006,99,4,information giving,Dear Rovio If you absolutely must continue trying to squeeze dollars from your customers this way at least have the decency to include an opt out for those like myself who are absolutely NOT going to spend an amount equal to what I paid for the app in the first place just to have some gimmicky and expendable in game item ,0,0,0,2,2,"['Dear', 'Rovio', 'absolutely', 'continue', 'try', 'squeeze', 'dollar', 'customer', 'way', 'decency', 'include', 'opt', 'like', 'absolutely', 'go', 'spend', 'equal', 'pay', 'app', 'place', 'gimmicky', 'expendable', 'game', 'item']",information giving Dear Rovio If you absolutely must continue trying to squeeze dollars from your customers this way at least have the decency to include an opt out for those like myself who are absolutely NOT going to spend an amount equal to what I paid for the app in the first place just to have some gimmicky and expendable in game item
3007,99,2,problem discovery,App crashes when new power up notice pops up ,0,0,0,2,2,"['problem', 'App', 'crash', 'new', 'power', 'notice', 'pop']",problem discovery App crashes when new power up notice pops up
3008,99,4,information giving,It would be nice to have an update that didn t crash the app ,0,0,0,2,2,"['nice', 'update', 'didn', 'crash', 'app']",information giving It would be nice to have an update that didn t crash the app
3009,99,2,problem discovery,App crashes with new release ,0,0,0,2,2,"['problem', 'App', 'crash', 'new', 'release']",problem discovery App crashes with new release
3010,99,4,information giving,I have had no problems with any of the versions so far ,0,0,0,2,2,"['problem', 'version', 'far']",information giving I have had no problems with any of the versions so far
3011,99,5,feature request,Please bring back the trajectory line or at least make it to where you can turn it on or off ,0,0,0,2,2,"['feature', 'request', 'bring', 'trajectory', 'line', 'turn']",feature request Please bring back the trajectory line or at least make it to where you can turn it on or off
3012,99,2,problem discovery,This is not worth buying it will crash right from the beginning ,0,0,0,2,2,"['problem', 'worth', 'buy', 'crash', 'right', 'beginning']",problem discovery This is not worth buying it will crash right from the beginning
3013,99,5,feature request,I will say you should make shock so close to the other buttons because I like to use the birds you provide ,0,0,0,2,2,"['feature', 'request', 'shock', 'close', 'button', 'like', 'use', 'bird', 'provide']",feature request I will say you should make shock so close to the other buttons because I like to use the birds you provide
3014,99,4,information giving,That needs to change ,0,0,0,2,2,"['need', 'change']",information giving That needs to change
3015,99,4,information giving,Similarly every single app that gets updated to a beautiful ios7 look is one I will not update ,0,0,0,2,2,"['similarly', 'single', 'app', 'get', 'update', 'beautiful', 'ios7', 'look', 'update']",information giving Similarly every single app that gets updated to a beautiful ios7 look is one I will not update
3016,99,2,problem discovery,This should Really be fixed ,0,0,0,2,2,"['problem', 'fix']",problem discovery This should Really be fixed
3017,99,2,problem discovery,And you still can t upload videos ,0,0,0,2,2,"['problem', 'upload', 'video']",problem discovery And you still can t upload videos
3018,99,2,problem discovery,Is it just me or is anyone else having the problem where the app won t even open at all ,0,0,0,2,2,"['problem', 'have', 'problem', 'app', 'win', 'open']",problem discovery Is it just me or is anyone else having the problem where the app won t even open at all
3019,99,5,feature request,I need to save my photos ,0,0,0,2,2,"['feature', 'request', 'need', 'save', 'photo']",feature request I need to save my photos
3020,99,4,information giving,I ve never had any issues with it and have been a user for years ,0,0,0,2,2,"['issue', 'user', 'year']",information giving I ve never had any issues with it and have been a user for years
3021,99,2,problem discovery,The app doesn t work unless you have the iOS 7 update and not all devices have that update so they should really fix this ,0,0,0,2,2,"['problem', 'app', 'doesn', 'work', 'iOS', '7', 'update', 'device', 'update', 'fix']",problem discovery The app doesn t work unless you have the iOS 7 update and not all devices have that update so they should really fix this
3022,99,4,information giving,I now see that you must have IO7 or better for the app ,0,0,0,2,2,"['IO7', 'well', 'app']",information giving I now see that you must have IO7 or better for the app
3023,99,5,feature request,Please please give us the ability to rename files from this app ,0,0,0,2,2,"['feature', 'request', 'ability', 'rename', 'file', 'app']",feature request Please please give us the ability to rename files from this app
3024,99,4,information giving,I ll rate 5 once you can view ' ',0,0,0,2,2,"['will', 'rate', '5', 'view']",information giving I ll rate 5 once you can view ' '
3025,99,4,information giving,I still cannot believe that the team at Dropbox STILL hasn ,0,0,0,2,2,"['believe', 'team', 'Dropbox', 'hasn']",information giving I still cannot believe that the team at Dropbox STILL hasn
3026,99,2,problem discovery,Sez needs software update but Apple sez software is uptodate ,0,0,0,2,2,"['problem', 'Sez', 'need', 'software', 'update', 'Apple', 'sez', 'software', 'uptodate']",problem discovery Sez needs software update but Apple sez software is uptodate
3027,99,4,information giving,It would allow me to get work done on my phone and edit files on the go for projects ,0,0,0,2,2,"['allow', 'work', 'phone', 'edit', 'file', 'project']",information giving It would allow me to get work done on my phone and edit files on the go for projects
3028,99,5,feature request,Only thing is they need to offer better customized pricing for upgrade plans ,0,0,0,2,2,"['feature', 'request', 'thing', 'need', 'offer', 'better', 'customize', 'price', 'upgrade', 'plan']",feature request Only thing is they need to offer better customized pricing for upgrade plans
3029,99,2,problem discovery,Please please FIX this video upload issue ,0,0,0,2,2,"['problem', 'FIX', 'video', 'upload', 'issue']",problem discovery Please please FIX this video upload issue
3030,99,4,information giving, nI would turn off automatic uploads but i need my regular photos to upload ,0,0,0,2,2,"['ni', 'turn', 'automatic', 'upload', 'need', 'regular', 'photo', 'upload']",information giving  nI would turn off automatic uploads but i need my regular photos to upload
3031,99,4,information giving,Please please please these are easy changes it used to be this way so make it go back ,0,0,0,2,2,"['easy', 'change', 'way']",information giving Please please please these are easy changes it used to be this way so make it go back
3032,99,2,problem discovery,Please fix the syncing issues with the iPad app ,0,0,0,2,2,"['problem', 'fix', 'sync', 'issue', 'iPad', 'app']",problem discovery Please fix the syncing issues with the iPad app
3033,99,2,problem discovery,Trying to automate it would be good if it worked but it doesn t ,0,0,0,2,2,"['problem', 'try', 'automate', 'good', 'work', 'doesn']",problem discovery Trying to automate it would be good if it worked but it doesn t
3034,99,4,information seeking,Why everything is so white ,0,0,0,2,2,['white'],information seeking Why everything is so white
3035,99,4,information giving,The pictures show a white background just like the iOS7 photo app ,0,0,0,2,2,"['picture', 'white', 'background', 'like', 'iOS7', 'photo', 'app']",information giving The pictures show a white background just like the iOS7 photo app
3036,99,5,feature request,U Dropbox employers improved mostly everything but in the app it should have the ability to rename files whereas the web version can ,0,0,0,2,2,"['feature', 'request', 'U', 'Dropbox', 'employer', 'improve', 'app', 'ability', 'rename', 'file', 'web', 'version']",feature request U Dropbox employers improved mostly everything but in the app it should have the ability to rename files whereas the web version can
3037,99,5,feature request,Ask me if I would like to use background uploading only once and remember my preference don t pester me every time I open the app to turn that feature on ,0,0,0,2,2,"['feature', 'request', 'ask', 'like', 'use', 'background', 'upload', 'remember', 'preference', 'don', 'pester', 'time', 'open', 'app', 'turn', 'feature']",feature request Ask me if I would like to use background uploading only once and remember my preference don t pester me every time I open the app to turn that feature on
3038,99,2,problem discovery,I ve been a loyal EN fan for years but just this week it s frozen and after reinstalling on both my iPad and iPhone it crashes each time I open it ,0,0,0,2,2,"['problem', 'loyal', 'EN', 'fan', 'year', 'week', 'frozen', 'reinstall', 'iPad', 'iPhone', 'crash', 'time', 'open']",problem discovery I ve been a loyal EN fan for years but just this week it s frozen and after reinstalling on both my iPad and iPhone it crashes each time I open it
3039,99,4,information giving,Holidays are here and I m a disorganized mess without EN ,0,0,0,2,2,"['holiday', 'disorganized', 'mess', 'EN']",information giving Holidays are here and I m a disorganized mess without EN
3040,99,2,problem discovery,For some reason it doesn t quite feel user friendly to me just yet ,0,0,0,2,2,"['problem', 'reason', 'doesn', 'feel', 'user', 'friendly']",problem discovery For some reason it doesn t quite feel user friendly to me just yet
3041,99,4,information giving,And it s all available on iPad and iPhone ,0,0,0,2,2,"['available', 'iPad', 'iPhone']",information giving And it s all available on iPad and iPhone
3042,99,2,problem discovery,Latest version crashes on launch on my iPad in iOS 7 ,0,0,0,2,2,"['problem', 'late', 'version', 'crash', 'launch', 'iPad', 'iOS', '7']",problem discovery Latest version crashes on launch on my iPad in iOS 7
3043,99,2,problem discovery,I need my notes ,0,0,0,2,2,"['problem', 'need', 'note']",problem discovery I need my notes
3044,99,4,information giving,Contacted Evernote support they are working on the fix ,0,0,0,2,2,"['contact', 'Evernote', 'support', 'work', 'fix']",information giving Contacted Evernote support they are working on the fix
3045,99,4,information giving,240 notes I can t see ,0,0,0,2,2,"['240', 'note']",information giving 240 notes I can t see
3046,99,2,problem discovery,It crashes all the time and the only way I can resolve is uninstall reinstall the app ,0,0,0,2,2,"['problem', 'crash', 'time', 'way', 'resolve', 'uninstall', 'reinstall', 'app']",problem discovery It crashes all the time and the only way I can resolve is uninstall reinstall the app
3047,99,2,problem discovery,The new version crashes on startup on my iPhone and iPad ,0,0,0,2,2,"['problem', 'new', 'version', 'crash', 'startup', 'iPhone', 'iPad']",problem discovery The new version crashes on startup on my iPhone and iPad
3048,99,2,problem discovery,Deleting app and reinstalling does not work either ,0,0,0,2,2,"['problem', 'delete', 'app', 'reinstalling', 'work']",problem discovery Deleting app and reinstalling does not work either
3049,99,2,problem discovery,The latest version crashes on launch for my iPhone 5s ,0,0,0,2,2,"['problem', 'late', 'version', 'crash', 'launch', 'iPhone', '5s']",problem discovery The latest version crashes on launch for my iPhone 5s
3050,99,2,problem discovery,This is the third update in 3 months that has crashed upon installation for me ,0,0,0,2,2,"['problem', 'update', '3', 'month', 'crash', 'installation']",problem discovery This is the third update in 3 months that has crashed upon installation for me
3051,99,2,problem discovery,Just crashes ,0,0,0,2,2,"['problem', 'crash']",problem discovery Just crashes
3052,99,4,information giving,Got the latest update and now it will not open on my phone ,0,0,0,2,2,"['got', 'late', 'update', 'open', 'phone']",information giving Got the latest update and now it will not open on my phone
3053,99,4,information giving,Please fix this ASAP ,0,0,0,2,2,"['fix', 'ASAP']",information giving Please fix this ASAP
3054,99,2,problem discovery,Now it crashes when loading ,0,0,0,2,2,"['problem', 'crash', 'load']",problem discovery Now it crashes when loading
3055,99,4,information giving,Please fix it ,0,0,0,2,2,['fix'],information giving Please fix it
3056,99,4,information giving,The latest interface is substandard from a useability standpoint besides being ugly and the latest version will not launch on my iPhone 5 ,0,0,0,2,2,"['late', 'interface', 'substandard', 'useability', 'standpoint', 'ugly', 'late', 'version', 'launch', 'iPhone', '5']",information giving The latest interface is substandard from a useability standpoint besides being ugly and the latest version will not launch on my iPhone 5
3057,99,4,information giving,Do not update ,0,0,0,2,2,['update'],information giving Do not update
3058,99,2,problem discovery,Latest update crashes every time on startup on 5S ,0,0,0,2,2,"['problem', 'late', 'update', 'crash', 'time', 'startup', '5S']",problem discovery Latest update crashes every time on startup on 5S
3059,99,2,problem discovery,I count on Evernote for many things across many devices but now the app just crashes on my iPhone 5 ,0,0,0,2,2,"['problem', 'count', 'Evernote', 'thing', 'device', 'app', 'crash', 'iPhone', '5']",problem discovery I count on Evernote for many things across many devices but now the app just crashes on my iPhone 5
3060,99,4,information giving,Please fix it or at least let us know you are working on this ,0,0,0,2,2,"['fix', 'let', 'know', 'work']",information giving Please fix it or at least let us know you are working on this
3061,99,2,problem discovery,Latest update crashes ,0,0,0,2,2,"['problem', 'late', 'update', 'crash']",problem discovery Latest update crashes
3062,99,4,information giving,If you are having problems with the latest Evernote update here s the fix n nIf you installed the latest update Evernote is still crashing n nGo to Settings Privacy Contacts look for Evernote select OFF ,0,0,0,2,2,"['have', 'problem', 'late', 'Evernote', 'update', 'fix', 'nIf', 'instal', 'late', 'update', 'Evernote', 'crash', 'ngo', 'Settings', 'Privacy', 'Contacts', 'look', 'Evernote', 'select']",information giving If you are having problems with the latest Evernote update here s the fix n nIf you installed the latest update Evernote is still crashing n nGo to Settings Privacy Contacts look for Evernote select OFF
3063,99,2,problem discovery,Just crashes shortly upon launch ,0,0,0,2,2,"['problem', 'crash', 'shortly', 'launch']",problem discovery Just crashes shortly upon launch
3064,99,4,information giving,Evernote please fix ASAP ,0,0,0,2,2,"['Evernote', 'fix', 'ASAP']",information giving Evernote please fix ASAP
3065,99,4,information giving,I will not use a note application I can t trust not to lose my information ,0,0,0,2,2,"['use', 'note', 'application', 'trust', 'lose']",information giving I will not use a note application I can t trust not to lose my information
3066,99,2,problem discovery,Since IOS 7 2 it continues to crash upon opening ,0,0,0,2,2,"['problem', 'IOS', '7', '2', 'continue', 'crash', 'opening']",problem discovery Since IOS 7 2 it continues to crash upon opening
3067,99,2,problem discovery,It let me down AT THE HOSPITAL where I needed Medication List Healthcare Power of Attorney and Living Will ,0,0,0,2,2,"['problem', 'let', 'hospital', 'need', 'Medication', 'List', 'Healthcare', 'Power', 'Attorney', 'Living']",problem discovery It let me down AT THE HOSPITAL where I needed Medication List Healthcare Power of Attorney and Living Will
3068,99,2,problem discovery,Epic FAIL ,0,0,0,2,2,"['problem', 'Epic', 'fail']",problem discovery Epic FAIL
