WebAppID,CategoryID,Subject,MainText,Rating,Remarks
99,2,Almost perfect,"Besides the occasional crash, this is an amazing product with tons of potential depending on how you work with it!",5,M_1 AppID: Not stated Src: RE2014_app_and_play_store_apps
99,2,Take a photo of your boarding pass,"This could be a great app if it was predictable, but it is full of bugs and is unpredictable.  if you are able to check in, take a screen shot of your boarding pass or print a backup copy, because you may not be able to access it when you need it most.",1,M_2 AppID: 382698565 Src: AppStore_Random
99,2,Won't open due to pop-ups since upgrade,I can't open since the last 2 updates Pop-ups go crazy on the iPhone 5! I'm uninstalling,1,M_3 AppID: Not stated Src: RE2014_app_and_play_store_apps
99,2,Not Working After Update,Use to love this app but it's not working after new update. Pages won't scroll up or down...none of the different tabs work...it's frozen! Please fix ASAP!!!,1,M_4 AppID: 404299862 Src: AppStore_Random
99,2,problem discovery,"Urrrrm	After my third re installing, it finally has scenery. Before hand, it was just black shapes everywhere. I could not even see the walls. This killed my internet as it is a very big game that takes half an hour to install - if you don't like the game, their is no chance of a refund. Once I finally got the proper game, it is very pretty with smooth graphics, an amazing sound track, and some of the best scenery I've ever seen on my tablet. In the next update, I want to be seeing the right installment first time, a chance of a refund, and free roam! Free roam was the best part of the old games, I would love to have it on my tablet! Thank you ?",3,M_5 AppID: #3_Need for Speed Most Wanted Src: PlayStore_Random
99,2,Needs work,This app serves its purpose for me perfectly except for the mobile deposit won't work. It keeps saying can't find endorsement. After calling PNC multiple times about this still no fix.,1,M_6 AppID: 303113127 Src: AppStore_Random
99,2,problem discovery,"Album function needs improvement	Current version opens up all possible folders which includ cache files which should be selectable from settings to avoid unnecessary browsing resulting low productivity.
",2,M_7 AppID: #10_Perfectly Clear Src: PlayStore_Random
99,2,Excel files don't open with update!,I'm very disappointed that I can't open most excel files anymore! Repeated tries works occasionally but it should work every time!,3,M_8 AppID: Not stated Src: RE2014_app_and_play_store_apps
99,2,problem discovery,"NEEDS TO BE UPDATED.	Was Fun & Challenging. Desperately in need of an update. Paid for the Allie levels SEPTEMBER 1 and still no new levels- when is ""soon""?? No new levels of the week. No updates. Used to be a favorite...",1,M_9 AppID: #8_Wo ist mein Wasser Src: PlayStore_Random
99,2,It's good to look at stuff,It's good if you want to browse but is horrible at letting me post anything. It stays frozen on signing in and I have to close the app.,3,M_10 AppID: 438875956 Src: AppStore_Random
99,2,Crashes,"Crash
Crash
Crash
Crash
Crash
Get it!!!!!",2,M_11 AppID: Not stated Src: RE2014_app_and_play_store_apps
99,2,problem discovery,Was great	It was great until apparently it updated on the 27th and now every time I try to use it I get a message the it has stopped working and it force closes! Please fix!,3,M_12 AppID: Not stated Src: RE2014_app_and_play_store_apps
99,2,Yup It's ugly,"The white app icon is so atrocious, I'm hiding it away in a new folder that I'm naming 'Ugly Apps' It will be joined by Photos and iBooks Some other Apple bloat-ware apps, like Game Center, Newsstand, and Passbook could go in too, but they'll just stay in my 'Crap!' folder instead",1,M_13 AppID: Not stated Src: RE2014_app_and_play_store_apps
99,2,problem discovery,Would like it to have more edit items..,3,M_14 AppID: #10_Fotocollage Bildbearbeitung Src: PlayStore_Random
99,2,?? VERY BAD!??,"This use to be a great app on iOS 5 Having iOS 7 and the latest version of 

Dropbox and it's really bad The new UI for viewing photos and video needs improvement to return to the way it was",1,M_15 AppID: Not stated Src: RE2014_app_and_play_store_apps
99,2,Started out great,"The app was awesome until the latest update  I lost a weeks worth of class notes, can't even open the program without it crashing unless I'm connected to wifi, and a complete notebook just disappeared after the password reset  Everything was great before the update, now nothing works",1,M_16 AppID: Not stated Src: RE2014_app_and_play_store_apps
99,2,Crash,After the last update it crashes Please fix!,1,M_17 AppID: Not stated Src: RE2014_app_and_play_store_apps
99,2,PDF Problems,"I liked very much the upgrade to pdfs (divisions and search) However, they aren't displaying anymore Fix it and it will be perfect
Best wishes",3,M_18 AppID: Not stated Src: RE2014_app_and_play_store_apps
99,2,problem,Can't update your latest bug fix,3,M_19 AppID: Not stated Src: RE2014_app_and_play_store_apps
99,2,It won't let me sing with other people,It says error to collect calls and it won't let me up date anything it needs to be fixed,2,M_20 AppID: 509993510 Src: AppStore_Random
