WebAppID,CategoryID,Subject,MainText,Rating,Remarks
99,5,feature request,Make it like better with a giant pig bigger than king pig.,3,P_39
99,4,information giving,"These screens are small enough without crowding in more stuff""  Tuck it in with the rest of the add ons I never use and please get it out of my face!""",3,P_42
99,4,information giving,"Dear Rovio; If you absolutely must continue trying to squeeze dollars from your customers this way, at least have the decency to include an opt out for those like myself who are absolutely NOT going to spend an amount equal to what I paid for the app in the first place just to have some gimmicky and expendable in game item.",3,P_49
99,2,problem discovery,App crashes when new power up notice pops up.,3,P_56
99,4,information giving,It would be nice to have an update that didn  t crash the app.,3,P_62
99,2,problem discovery,App crashes with new release.,3,P_63
99,4,information giving,I have had no problems with any of the versions so far.,3,P_67
99,5,feature request,Please bring back the trajectory line or at least make it to where you can turn it on or off.,3,P_68
99,2,problem discovery,This is not worth buying it will crash right from the beginning.,3,P_69
99,5,feature request,I will say you should make shock so close to the other buttons because I like to use the birds you provide.,3,P_70
99,4,information giving,That needs to change.,3,P_70
99,4,information giving,"Similarly every single app that gets updated to a beautiful"" ios7 look is one I will not update.""",3,P_1588
99,2,problem discovery,This should Really be fixed!,3,P_1591
99,2,problem discovery,And you still can  t upload videos!!,3,P_1591
99,2,problem discovery,"Is it just me, or is anyone else having the problem where the app won  t even open at all?",3,P_1594
99,5,feature request,I need to save my photos.,3,P_1594
99,4,information giving,I  ve never had any issues with it and have been a user for years.,3,P_1615
99,2,problem discovery,The app doesn  t work unless you have the iOS 7 update and not all devices have that update so they should really fix this.,3,P_1619
99,4,information giving,I now see that you must have IO7 or better for the app.,3,P_1621
99,5,feature request,"Please, please give us the ability to rename files from this app.",3,P_1624
99,4,information giving,I  ll rate 5 once you can view '.',3,P_1629
99,4,information giving,I still cannot believe that the team at Dropbox STILL hasn?,3,P_1633
99,2,problem discovery,Sez needs software update but Apple sez software is uptodate.,3,P_1635
99,4,information giving,It would allow me to get work done on my phone and edit files on the go for projects.,3,P_1637
99,5,feature request,Only thing is they need to offer better customized pricing for upgrade plans.,3,P_1638
99,2,problem discovery,"Please, please FIX this video upload issue.",3,P_1640
99,4,information giving,"\nI would turn off automatic uploads, but i need my regular photos to upload.",3,P_1640
99,4,information giving,Please please please these are easy changes...it used to be this way so make it go back!!!,3,P_1644
99,2,problem discovery,Please fix the syncing issues with the iPad app.,3,P_1645
99,2,problem discovery,"Trying to automate it would be good if it worked, but it doesn  t. ,",3,P_1645
99,4,information seeking,Why everything is so white?,3,P_1646
99,4,information giving,The pictures show a white background just like the iOS7 photo app.,3,P_1646
99,5,feature request,"U Dropbox employers improved mostly everything, but in the app it should have the ability to rename files, whereas the web version can.",3,P_1651
99,5,feature request,Ask me if I would like to use background uploading only once and remember my preference   don  t pester me every time I open the app to turn that feature on.,3,P_1653
99,2,problem discovery,"I  ve been a loyal EN fan for years but just this week it  s frozen and after reinstalling on both my iPad and iPhone, it crashes each time I open it.",3,P_3793
99,4,information giving,Holidays are here and I  m a disorganized mess without EN!,3,P_3793
99,2,problem discovery,"For some reason, it doesn  t quite feel user friendly to me just yet.",3,P_3796
99,4,information giving,And it  s all available on iPad and iPhone.,3,P_3799
99,2,problem discovery,Latest version crashes on launch on my iPad in iOS 7.,3,P_3800
99,2,problem discovery,I need my notes!,3,P_3801
99,4,information giving,Contacted Evernote support.....they are working on the fix.,3,P_3803
99,4,information giving,240 notes I can  t see.,3,P_3805
99,2,problem discovery,It crashes all the time and the only way I can resolve is uninstall/reinstall the app.,3,P_3806
99,2,problem discovery,The new version crashes on startup on my iPhone and iPad.,3,P_3808
99,2,problem discovery,Deleting app and reinstalling does not work either.,3,P_3809
99,2,problem discovery,The latest version crashes on launch for my iPhone 5s.,3,P_3811
99,2,problem discovery,This is the third update in 3 months that has crashed upon installation for me.,3,P_3814
99,2,problem discovery,Just crashes.,3,P_3817
99,4,information giving,Got the latest update and now it will not open on my phone.,3,P_3820
99,4,information giving,Please fix this ASAP.,3,P_3820
99,2,problem discovery,"Now, it crashes when loading.",3,P_3826
99,4,information giving,Please fix it!,3,P_3826
99,4,information giving,"The latest interface is substandard from a useability standpoint besides being ugly, and the latest version will not launch on my iPhone 5.",3,P_3828
99,4,information giving,Do not update.,3,P_3830
99,2,problem discovery,Latest update crashes every time on startup on 5S.,3,P_3831
99,2,problem discovery,I count on Evernote for many things across many devices but now the app just crashes on my iPhone 5.,3,P_3833
99,4,information giving,"Please fix it or at least let us know you are working on this ,",3,P_3833
99,2,problem discovery,Latest update crashes!,3,P_3834
