Id,MainText,Subjectivity,Polarity
1_1_1,MainText,2.0,2.0
1_2_2,MainText,2.0,2.0
99_3004_5,Make it like better with a giant pig bigger than king pig ,2.0,2.0
99_3005_4,These screens are small enough without crowding in more stuff Tuck it in with the rest of the add ons I never use and please get it out of my face ,2.0,2.0
99_3006_4,Dear Rovio If you absolutely must continue trying to squeeze dollars from your customers this way at least have the decency to include an opt out for those like myself who are absolutely NOT going to spend an amount equal to what I paid for the app in the first place just to have some gimmicky and expendable in game item ,2.0,2.0
99_3007_2,App crashes when new power up notice pops up ,2.0,2.0
99_3008_4,It would be nice to have an update that didn t crash the app ,2.0,2.0
99_3009_2,App crashes with new release ,2.0,2.0
99_3010_4,I have had no problems with any of the versions so far ,2.0,2.0
99_3011_5,Please bring back the trajectory line or at least make it to where you can turn it on or off ,2.0,2.0
99_3012_2,This is not worth buying it will crash right from the beginning ,2.0,2.0
99_3013_5,I will say you should make shock so close to the other buttons because I like to use the birds you provide ,2.0,2.0
99_3014_4,That needs to change ,2.0,2.0
99_3015_4,Similarly every single app that gets updated to a beautiful ios7 look is one I will not update ,2.0,2.0
99_3016_2,This should Really be fixed ,2.0,2.0
99_3017_2,And you still can t upload videos ,2.0,2.0
99_3018_2,Is it just me or is anyone else having the problem where the app won t even open at all ,2.0,2.0
99_3019_5,I need to save my photos ,2.0,2.0
99_3020_4,I ve never had any issues with it and have been a user for years ,2.0,2.0
99_3021_2,The app doesn t work unless you have the iOS 7 update and not all devices have that update so they should really fix this ,2.0,2.0
99_3022_4,I now see that you must have IO7 or better for the app ,2.0,2.0
99_3023_5,Please please give us the ability to rename files from this app ,2.0,2.0
99_3024_4,I ll rate 5 once you can view ' ',2.0,2.0
99_3025_4,I still cannot believe that the team at Dropbox STILL hasn ,2.0,2.0
99_3026_2,Sez needs software update but Apple sez software is uptodate ,2.0,2.0
99_3027_4,It would allow me to get work done on my phone and edit files on the go for projects ,2.0,2.0
99_3028_5,Only thing is they need to offer better customized pricing for upgrade plans ,2.0,2.0
99_3029_2,Please please FIX this video upload issue ,2.0,2.0
99_3030_4, nI would turn off automatic uploads but i need my regular photos to upload ,2.0,2.0
99_3031_4,Please please please these are easy changes it used to be this way so make it go back ,2.0,2.0
99_3032_2,Please fix the syncing issues with the iPad app ,2.0,2.0
99_3033_2,Trying to automate it would be good if it worked but it doesn t ,2.0,2.0
99_3034_4,Why everything is so white ,2.0,2.0
