Id,TextTopics,TopicPercentages
99_3005_4,44,0.8802415
99_3006_4,42,0.7643696
99_3008_4,24,0.314642
99_3015_4,15,0.315499
99_3022_4,2,0.64920616
99_3024_4,12,0.48386467
99_3030_4,64,0.5904963
99_3031_4,26,0.49361554
99_3034_4,52,0.4814197
99_3035_4,52,0.6994338
99_3039_4,42,0.48294863
99_3041_4,66,0.6666666666666666
99_3044_4,31,0.49164614
99_3045_4,49,0.48312983
99_3056_4,26,0.76794857
99_3057_4,20,0.4837061
99_3062_4,31,0.66240793
99_3064_4,31,0.48369816
99_3071_4,16,0.5057069
99_3080_4,20,0.4837061
99_3093_4,42,0.64953744
99_3102_4,33,0.59529674
99_3110_4,49,0.64968824
99_3124_4,18,0.6680061
99_3127_4,18,0.37899736
99_3131_4,42,0.6495678
99_3132_4,68,0.3333333333333333
99_3133_4,68,0.3333333333333333
99_3137_4,30,0.420147
99_3139_4,26,0.4875459
99_3142_4,52,0.48142734
99_3145_4,16,0.38021883
99_3146_4,51,0.6528587
99_3148_4,47,0.6483199
99_3149_4,15,0.64965695
99_3151_4,42,0.48295513
99_3156_4,12,0.48386407
99_3157_4,54,0.3699239
99_3159_4,4,0.33433527
99_3161_4,2,0.6492049
99_3162_4,12,0.48386407
99_3163_4,68,0.6666666666666666
99_3164_4,48,0.3746869
99_3165_4,63,0.3947004
99_3168_4,22,0.4830269
99_3170_4,68,0.4
99_3174_4,9,0.48218763
99_3180_4,9,0.48218912
99_3190_4,12,0.48386407
99_3192_4,7,0.49503502
99_3193_4,53,0.308826
99_3199_4,16,0.50570786
99_3200_4,25,0.7418874
99_3206_4,28,0.706102
99_3210_4,16,0.664992
99_3211_4,68,0.3333333333333333
99_3212_4,59,0.48457146
99_3228_4,14,0.47718748
99_3229_4,16,0.50570667
99_3230_4,49,0.4831293
99_3240_4,52,0.59031945
99_3242_4,68,0.4
99_3249_4,2,0.3947466
99_3252_4,38,0.72195816
99_3255_4,2,0.48241884
99_3258_4,68,0.3333333333333333
99_3259_4,12,0.7510818
99_3263_4,68,0.6666666666666666
99_3268_4,36,0.8654923
99_3269_4,32,0.32404566
99_3270_4,44,0.3309784
99_3275_4,32,0.48274797
99_3282_4,62,0.62089133
99_3283_4,59,0.48457146
99_3285_4,61,0.77042913
99_3287_4,63,0.6490267
99_3289_4,32,0.48275456
99_3290_4,17,0.7346383
99_3291_4,7,0.7418518
99_3293_4,23,0.48211038
99_3295_4,39,0.48259723
99_3296_4,48,0.61698264
99_3299_4,47,0.37214768
99_3300_4,33,0.44880447
99_3302_4,18,0.32783276
99_3303_4,42,0.48295513
99_3304_4,26,0.33185732
99_3307_4,19,0.34185746
99_3309_4,42,0.48295513
99_3311_4,25,0.59015197
99_3316_4,39,0.47616932
99_3318_4,59,0.4845704
99_3323_4,16,0.50570786
99_3329_4,19,0.3020986
99_3336_4,20,0.49137306
99_3337_4,3,0.8655766
99_3342_4,44,0.4241641
99_3349_4,26,0.62014854
99_3353_4,16,0.50569695
99_3360_4,33,0.48240444
99_3364_4,68,0.42857142857142855
99_3375_4,21,0.48101825
99_3379_4,59,0.395667
99_3381_4,27,0.61676246
99_3386_4,68,0.3333333333333333
99_3388_4,31,0.8659895
99_3390_4,68,0.3333333333333333
99_3399_4,12,0.48565665
99_3400_4,68,0.3333333333333333
99_3403_4,68,0.3333333333333333
99_3413_4,68,0.6666666666666666
99_3415_4,52,0.5648816
99_3417_4,3,0.42429915
99_3422_4,60,0.82169455
99_3431_4,16,0.5057063
99_3433_4,57,0.5648098
99_3445_4,55,0.6485693
99_3450_4,46,0.4838521
99_3465_4,61,0.64881724
99_3476_4,61,0.64881974
99_3477_4,12,0.6501869
99_3479_4,64,0.32712886
99_3480_4,42,0.48295513
99_3481_4,27,0.5683846
99_3486_4,42,0.48295513
99_3492_4,38,0.48314208
99_3508_4,33,0.64919686
99_3509_4,6,0.4835722
99_3512_4,42,0.48295513
99_3515_4,46,0.4441792
99_3521_4,9,0.30513334
99_3533_4,48,0.5746383
99_3535_4,16,0.5057069
99_3546_4,16,0.50570786
99_3549_4,16,0.50570786
99_3559_4,12,0.591327
99_3561_4,21,0.6572964
99_3564_4,19,0.3275032
99_3566_4,42,0.48295513
99_3567_4,19,0.33615988
99_3568_4,22,0.48304033
99_3569_4,32,0.48275456
99_3570_4,12,0.40963203
99_3571_4,22,0.46027178
99_3572_4,16,0.50570667
99_3573_4,26,0.43369973
99_3578_4,32,0.5411564
99_3579_4,53,0.5503995
99_3593_4,62,0.481395
99_3594_4,51,0.49580374
99_3597_4,42,0.6495697
99_3603_4,16,0.50570774
99_3612_4,6,0.48357332
99_3620_4,23,0.4046811
99_3627_4,30,0.6437315
99_3629_4,32,0.48275438
99_3630_4,37,0.45221144
99_3635_4,68,0.3333333333333333
99_3640_4,51,0.4776875
99_3644_4,19,0.3187341
99_3651_4,18,0.51015604
99_3660_4,24,0.8220507
99_3664_4,31,0.6500737
99_3666_4,16,0.41701236
99_3667_4,2,0.48241404
99_3668_4,13,0.5805321
99_3670_4,23,0.482103
99_3676_4,42,0.48295513
99_3678_4,13,0.4830595
99_3681_4,40,0.48266688
99_3683_4,56,0.6575001
99_3696_4,53,0.8484585
99_3699_4,42,0.56540895
99_3703_4,39,0.48260152
99_3705_4,17,0.4823009
99_3706_4,18,0.60208344
99_3712_4,33,0.793262
99_3713_4,49,0.42465517
99_3719_4,63,0.6041571
99_3720_4,13,0.4830595
99_3724_4,55,0.5425261
99_3729_4,13,0.62185353
99_3735_4,61,0.8214342
99_3738_4,53,0.62032616
99_3741_4,35,0.9484323
