FeedbackID,CategoryID,WebAppID,Datetime,ContactName,ContactEmail,Rating,OverallScore,Subject,MainText,Status,Remarks,Whitelist,PreprocessStatus,MineStatus,SubjectCleaned,MainTextCleaned,SubjectSpam,MainTextSpam,SpamStatus,Subjectivity,Polarity,TextTokens
4919,4,99,2019-12-12 16:14:13,,,4,8,rating,????	?? ?? ?????,3,M_557 AppID: #10_line gratis anrufe Src: PlayStore_Random,3,0,0,rating,,3,3,3,3,3,[]
4999,4,99,2019-12-12 16:14:13,,,4,8,rating,****	****,3,M_639 AppID: #1_quizduell Src: PlayStore_Random,3,0,0,rating,,3,3,3,3,3,[]
5345,4,99,2019-12-12 16:14:13,,,5,10,Very good,:],3,M_1004 AppID: 364894966 Src: AppStore_Random,3,0,0,Very good,,3,3,3,3,3,[]
5817,4,99,2019-12-12 16:14:13,,,5,10,I liiike ??,?????????,3,M_1514 AppID: 518042655 Src: AppStore_Random,3,0,0,I liiike ,,3,3,3,3,3,[]
5835,4,99,2019-12-12 16:14:13,,,5,10,Awesome!,??,3,M_1540 AppID: 530957474 Src: AppStore_Random,3,0,0,Awesome ,,3,3,3,3,3,[]
5869,4,99,2019-12-12 16:14:13,,,5,10,The best pro,?????? ???? ?????? ??? ????? ????? ?? ??????? ??? ???? ????? ??? ?? ????,3,M_1577 AppID: Not stated Src: RE2014_app_and_play_store_apps,3,0,0,The best pro,,3,3,3,3,3,[]
5888,4,99,2019-12-12 16:14:13,,,5,10,Amazing,!!,3,M_1597 AppID: Not stated Src: RE2014_app_and_play_store_apps,3,0,0,Amazing,,3,3,3,3,3,[]
5893,4,99,2019-12-12 16:14:13,,,5,10,A wonderful application ,),3,M_1602 AppID: Not stated Src: RE2014_app_and_play_store_apps,3,0,0,A wonderful application,,3,3,3,3,3,[]
5960,4,99,2019-12-12 16:14:13,,,5,10,very good,?? ??,3,M_1671 AppID: Not stated Src: RE2014_app_and_play_store_apps,3,0,0,very good,,3,3,3,3,3,[]
6032,4,99,2019-12-12 16:14:13,,,1,2,???,??????,3,M_1747 AppID: Not stated Src: RE2014_app_and_play_store_apps,3,0,0,,,3,3,3,3,3,[]
6239,4,99,2019-12-12 16:14:13,,,5,10,rating,????	??????,3,M_1969 AppID: Not stated Src: RE2014_app_and_play_store_apps,3,0,0,rating,,3,3,3,3,3,[]
6286,4,99,2019-12-12 16:14:13,,,5,10,rating,??????? ???	???? ????? ???? ???,3,M_2019 AppID: Not stated Src: RE2014_app_and_play_store_apps,3,0,0,rating,,3,3,3,3,3,[]
6409,4,99,2019-12-12 16:14:13,,,5,10,rating,)	),3,M_2154 AppID: Not stated Src: RE2014_app_and_play_store_apps,3,0,0,rating,,3,3,3,3,3,[]
