Id,Subject,MainText,Text,TextTokens,TextTopics,TopicPercentages
99_3004_5,feature request,Make it like better with a giant pig bigger than king pig ,feature request Make it like better with a giant pig bigger than king pig,"['feature', 'request', 'giant', 'pig', 'big']",[216],[0.8651422]
99_3011_5,feature request,Please bring back the trajectory line or at least make it to where you can turn it on or off ,feature request Please bring back the trajectory line or at least make it to where you can turn it on or off,"['feature', 'request', 'trajectory', 'line']",[212],[0.83742887]
99_3013_5,feature request,I will say you should make shock so close to the other buttons because I like to use the birds you provide ,feature request I will say you should make shock so close to the other buttons because I like to use the birds you provide,"['feature', 'request', 'shock', 'button', 'bird']",[204],[0.86544025]
99_3019_5,feature request,I need to save my photos ,feature request I need to save my photos,"['feature', 'request', 'photo']","[200, 175]","[0.49365306, 0.30537713]"
99_3023_5,feature request,Please please give us the ability to rename files from this app ,feature request Please please give us the ability to rename files from this app,"['feature', 'request', 'ability', 'file', 'app']",[212],[0.6650815]
99_3028_5,feature request,Only thing is they need to offer better customized pricing for upgrade plans ,feature request Only thing is they need to offer better customized pricing for upgrade plans,"['feature', 'request', 'thing', 'upgrade', 'plan']","[212, 221]","[0.49332148, 0.37445065]"
99_3036_5,feature request,U Dropbox employers improved mostly everything but in the app it should have the ability to rename files whereas the web version can ,feature request U Dropbox employers improved mostly everything but in the app it should have the ability to rename files whereas the web version can,"['feature', 'request', 'Dropbox', 'employer', 'app', 'ability', 'file', 'web', 'version']",[175],[0.6677119]
99_3037_5,feature request,Ask me if I would like to use background uploading only once and remember my preference don t pester me every time I open the app to turn that feature on ,feature request Ask me if I would like to use background uploading only once and remember my preference don t pester me every time I open the app to turn that feature on,"['feature', 'request', 'background', 'preference', 'time', 'app', 'feature']",[194],[0.9002502]
99_3085_5,feature request,Please get a fix out soon ,feature request Please get a fix out soon,"['feature', 'request', 'fix']",[200],[0.7960671]
99_3129_5,feature request,This is a little inconvenient and could be improved ,feature request This is a little inconvenient and could be improved,"['feature', 'request', 'little', 'inconvenient']",[181],[0.8376]
99_3135_5,feature request,It would be nice if it would let you start typing the name of the board and it would pull it up ,feature request It would be nice if it would let you start typing the name of the board and it would pull it up,"['feature', 'request', 'nice', 'board']",[221],[0.8375349]
99_3141_5,feature request, I m kinda technologically challenged I admit but ideally the app should be programmed and designed with people like me in mind ,feature request  I m kinda technologically challenged I admit but ideally the app should be programmed and designed with people like me in mind,"['feature', 'request', 'app', 'people', 'mind']",[197],[0.63669056]
99_3147_5,feature request,I wish there was a way to put my boards in alphabetical order without moving them all individually ,feature request I wish there was a way to put my boards in alphabetical order without moving them all individually,"['feature', 'request', 'way', 'board', 'alphabetical', 'order']","[223, 163]","[0.51388633, 0.37587345]"
99_3166_5,feature request,I like pinterest a lot but it really needs to be managed better ,feature request I like pinterest a lot but it really needs to be managed better,"['feature', 'request', 'pinterest']","[200, 234]","[0.7230165, 0.3333333333333333]"
99_3173_5,feature request,I feel that they need to remove them ,feature request I feel that they need to remove them,"['feature', 'request']",[200],[0.7230165]
99_3188_5,feature request,Please change it back to how it was before ,feature request Please change it back to how it was before,"['feature', 'request']",[200],[0.7230165]
