Id,OverallScore,Subject,MainText,SpamStatus,SubjectSpam,MainTextSpam
1_1_2,20,wehwehh,ehrewh,0,0,0
2_2_3,20,sub,wgwg,0,0,0
3_3_3,12,wf,wgwggw,0,0,0
2_4_4,6,wgw,wehwhwrh,0,0,0
3_5_2,8,2,wrrgw,0,1,0
3_6_3,8,dog,hseteth,0,0,0
1_7_1,30,whwh,wwh,0,0,0
1_8_2,4,eheh,wgwh,0,0,0
2_9_1,18,rg,wgwg,0,0,0
3_10_1,30,erg,1 42ggg,0,0,1
1_11_2,20,wgwg,wgwg,0,0,0
2_12_4,6,erggre,wgwg,0,0,0
99_229340_2,12,It's good to look at stuff,It's good if you want to browse but is horrible at letting me post anything It stays frozen on signing in and I have to close the app ,0,0,0
99_229343_2,4,Yup It's ugly,The white app icon is so atrocious I'm hiding it away in a new folder that I'm naming 'Ugly Apps' It will be joined by Photos and iBooks Some other Apple bloat ware apps like Game Center Newsstand and Passbook could go in too but they'll just stay in my 'Crap ' folder instead,0,0,0
99_229353_2,20,Hats,I love the app but it's annoying cause when I use the premade hats they come half out with the middle half of the hat gone so I can't make what I want easily ,0,0,0
99_229359_2,4,Just doesn't work,So frustrated Not responsive or sluggish Cannot modify the city from which I want to rent I give up ,0,0,0
99_229365_2,4,iPhone 5s Really ,Did not work on my new iPhone 5s Only showed sliding logo's,0,0,0
99_229366_2,16,Minor glitches,Pretty good but glitches Wanted to use flight filters but it wasn't applying them Had to start search over Haven't used it much yet,0,0,0
99_229377_2,4,Just Awful,Loaded to my iTouch In it Everything is completely opposite East reads as West North reads as South etc Don't get this app unless you want to get lost Will proceed to Delete immediately ,0,0,0
99_229384_2,4,Open in for music files ,Why did you remove open in option for music files I used to be able to do this with my sound files Why ,0,0,0
99_229386_2,4,Don't like anymore,Can't easily share composition due to file type ,0,0,0
99_229387_2,4,Office documents,Use to be good until I cannot open any office documents,0,0,0
99_229388_2,4,Still lost,Is been downloading for 2 days and still downloading,0,0,0
99_229391_2,4,Horrible App Crap ,Crap Doesn't work Try something else Don't waste your time ,0,0,0
99_229396_2,20,Love ,I love having my nook on my iPad and I love having so many books always with me Sometimes though I wish I could get certain books they don't have ,0,0,0
99_229409_2,16,Photo issues,Has started having issues sending photos recently I have to send a half dozen before one will go througj,0,0,0
99_229410_2,20,nice ,but i don't understand why we can't add a website even though it's an option also it'll be cool to add videos ,0,0,0
99_229412_2,4,Hate it,Worst thing I ever brought I want my four dollars back Don't work good at all ,0,0,0
99_229413_2,20,Great app but watch out for iPad2 iOS7 hassles,I find I must logon again each and every time I open the app on my iPad2 running iOS7 Curiously this doesn't happen on my iPhone 4S Grr,0,0,0
99_229414_2,12,Functionality on App doesn't compare to web site,Need to improve functionality on this app Can't vote reviews helpful Can't read your own contributions or see badges Have to scroll thru all the pictures to get to the end Would be nice if you could skip to the oldest newest Pics without scrolling thru each one Back button needs work as well Otherwise good for the basics ,0,0,0
99_229418_2,4,Not very useful,Can't even uploadtransfer a file from Pages,0,0,0
99_229420_2,20,I like it ,Very good,0,0,0
99_229424_2,4,Doesn't work,Flat out will not open on a new iPad Air,0,0,0
99_229427_2,8,Excited about App but ,At first usage I realized that if you go to send an email there is no Cancel or Back button My App is stuck on this screen I don't know how the rest of it works because it's stuck on that screen ,0,0,0
99_229435_2,20,New version is terrible,Used to be my most used app but now it's a pain to find hotels when searching a geographical location I now have to enter numerous towns and do numerous searches to find what I'm looking for New version is a step in wrong direction,0,0,0
99_229441_2,20,Please,The app in iPhone needs important issue 'share via email',0,0,0
99_229444_2,4,VERY Disappointed,The new interface is a very big disappointment Is there any way to get Version 232 back Way too much white space which is hard on the eyes Also still not able to rename files unbelievable ,0,0,0
99_229446_2,4,Still waiting,Caught in a loop forever after trying to load a video and also forever looping in the initial how to adobe file Very sad,0,0,0
99_229451_2,8,Disapointed,Love the app but i can't access my recipes that I saved online or save any It keeps saying they are working on it Wish I had not purchased it ,0,0,0
99_229452_2,4,Really ,Can not even select a flight date anymore Don't waste your time here Sheesh why don't ya charge more for luggage so you can hire a programmer ,0,0,0
99_229455_2,4,bad app LOST PRECIOUS MEMORIES,awful appI uploaded HUNDREDS of photos but app could not upload them alllost hundreds of precious memories of concerts times with friends etc I was SOLELY relying on this app I had NO back up for these photos and deleted them when it said they were done now they are gone I can NOT access them,0,0,0
99_229458_2,8,still issue with iWork,My iPad air and iPhone 4 on iOS 7 still will not open any pages documents all they show is the document name and size,0,0,0
99_229460_2,12,Annoying functionality,When you select an attraction and click around to read reviews and view pictures and then go back to the full like it defaults back to the beginning of the list and you have to hit 'next page' a several times to find the place you left off Very annoying,0,0,0
99_229466_2,20,Great for texting and calling ,It is an awesome app to have But it sometime shuts down when u try to open it But the calls r ok and the texting is good ,0,0,0
99_229469_2,4,It's not ok,I like the fact that I can download drop box on any device and share pics What I don't like is the time it takes to download pics and that in order to download I have to always be connected to the Internet this keeps the pics from downloading some times when I am away from wifi 2613 i'm still trying to figure out app support pictures are not downloading and i am going to remove this app from my IPAD its worthless,0,0,0
99_229472_2,4,Doesn't even open ,Downloaded it to find that it doesn't even open The AppStore says it's downloaded but nothing shows up in my app selection screen,0,0,0
99_229474_2,4,Poor Compatibility and Terrible Design,Why is this for iOS 7 only now Not very fair for people wanting to run this on older devices or don't wish to downgrade to cruddy iOS 7,0,0,0
99_229485_2,12,Keeps freezing,The app used to work great but now it keeps freezing and I can't get into my notes It is very frustrating I have to delete the app and download it again What a pain ,0,0,0
99_229486_2,4,Great app when it works,Freezing on start up all the time Becomes useless Considering other apps,0,0,0
99_229495_2,16,Evernote,Overall good maneuverability Love the connectivity I hate how hard iris to put different notes into different notebooks though ,0,0,0
99_229497_2,4,Total Disappointment,Major sync failure You put documents at work and go home and sync again only to find none of them are there Other times when they are actually synced you can't open them I'm deleting it,0,0,0
99_229504_2,8,Scanner,It's great when it works the app disconnects frequently ,0,0,0
99_229509_2,8,Worst app I've seen for a major site,This app is horrible in my experience Takes forever to load and search and filter options either partially or entirely fail I've gone back to using the TripAdvisor website through my browser,0,0,0
99_229510_2,8,Hotels in NC,Not showing or even suggesting located areas,0,0,0
99_229515_2,16,Please Help,Hi Fox would you help me out with my Fox News app It's as frozen as ice I can not even write to you except through this review This is the 1st time it's happened with Fox for me so I'm leaving 4 stars TY in advance I'm on an iPod 4 with wifi ,0,0,0
99_229535_2,4,Can't Use on old iPads,Why did you drop support for earlier IOSs Does Apple make you ,0,0,0
99_229537_2,4,Please clear the un starred files,Non starred files occupied more than 600 MB and I have no way to reduce itit eats out all my ipad space,0,0,0
99_229539_2,20,Great software despite the new web interface,I love Evernote and I use it everywhere and on various devices iOS and desktop I used to love the simplicity of the web interface but the new one seems too cumbersome and I've had some really weird issues where it has overwritten my notes Overall I would rate the environment 45,0,0,0
99_229549_2,8,Seat Selection,Every time I try to select a seat it never loads ,0,0,0
99_229563_2,8,Useless now,I like the app but suddenly it won't open and I can't get to my notes,0,0,0
