Id,Name,PriorityScore,Remarks
206,hdp_record_thumb_pin_timestamp_brave,7.7,"record, thumb, pin, timestamp, brave, lathy, iPads, x, laugh, ubiquitous"
207,hdp_disappointed_radius_Teamspeaks_comeback_networking,6.4,"disappointed, radius, Teamspeaks, comeback, networking, concern, journal, alarm, travel, coach"
208,hdp_generation_tap_158_nLove_help,8.0,"generation, tap, 158, nLove, help, iphone, dimension, beter, setup, breaker"
209,hdp_mouse_gs4_poor_trustworthy_paint,8.0,"mouse, gs4, poor, trustworthy, paint, ton, limited, love, Avg, infomercial"
210,hdp_love_review_nail_heart_breakdown,8.35,"love, review, nail, heart, breakdown, Picsart, early, GPS, tumor, CM"
211,hdp_separate_airplane_summary_license_wasn,9.07,"separate, airplane, summary, license, wasn, bread, Yelp, today, snapshot, technique"
212,hdp_inspiring_fellow_3113_Superb_freeze,9.0,"inspiring, fellow, 3113, Superb, freeze, extensive, cloud, software, mentality, helper"
213,hdp_Catholics_inspired_action_representation_notification,8.33,"Catholics, inspired, action, representation, notification, mistake, Starbucks, little, treasure, seamstress"
214,hdp_Amazonia_Lexus_willnot_pick_counterintuitive,7.11,"Amazonia, Lexus, willnot, pick, counterintuitive, ditch, group, usable, bst, cap"
215,hdp_on_saver_suite_Craigslist_surgical,7.3,"on, saver, suite, Craigslist, surgical, efficient, pro, option, meesenger, skritter"
216,hdp_player_namdeo_secret_yellow_compatibility,8.8,"player, namdeo, secret, yellow, compatibility, cook, effortless, uncool, devs, technology"
217,hdp_particular_ignorant_price_pronunciation_snag,8.38,"particular, ignorant, price, pronunciation, snag, available, print, seemless, sync, fat"
218,hdp_device_capital_pocket_restyling_ldont,8.57,"device, capital, pocket, restyling, ldont, ilife, handy, mundane, limitless, sophomore"
219,hdp_website_jewish_news_everyday_big,7.93,"website, jewish, news, everyday, big, nas, favorite, loop, Lack, talent"
220,hdp_couple_dissertation_Definetley_thig_flow,8.3,"couple, dissertation, Definetley, thig, flow, file, double, pervious, AVG, Chinese"
221,hdp_Office_thesis_t_compression_measurement,7.88,"Office, thesis, t, compression, measurement, group, wardrobe, 60, changeralmost, bottomless"
222,hdp_flashcard_productivity_wowd_weary_storage,7.33,"flashcard, productivity, wowd, weary, storage, thesis, instagram, ordinary, program, weird"
223,hdp_thiz_header_data_inspiration_creazy,9.11,"thiz, header, data, inspiration, creazy, appit, functionality, highlight, circle, brand"
224,hdp_volunteer_dog_amount_practical_boo,7.5,"volunteer, dog, amount, practical, boo, EXTREMELY, perfect, idevice, school, mint"
225,hdp_airplane_tricky_shock_bt_relevant,7.67,"airplane, tricky, shock, bt, relevant, fine, reviewer, Noah, south, control"
226,hdp_url_rental_Lose_beauty_fair,8.81,"url, rental, Lose, beauty, fair, awful, radius, static, alsop, essential"
227,hdp_family_space_inside_itranslator_communion,8.4,"family, space, inside, itranslator, communion, editior, new, visit, sad, demand"
228,hdp_minecraft_lifeawesome_NSA_station_tablet,8.67,"minecraft, lifeawesome, NSA, station, tablet, frustrating, creativity, screensaver, classic, pay"
229,hdp_desert_font_junk_twist_writer,8.67,"desert, font, junk, twist, writer, idevice, inevitable, 25, antivirus, avairy"
230,hdp_haha_phone_paragraph_travelling_device,6.2,"haha, phone, paragraph, travelling, device, story, evaluation, satellite, clean, camper"
231,hdp_ebook_Additive_newspaper_planner_site,8.83,"ebook, Additive, newspaper, planner, site, editior, adjustment, supper, picture, stupid"
232,hdp_landscape_criticism_double_drawing_solid,9.0,"landscape, criticism, double, drawing, solid, specific, lead, tour, addict, sight"
233,hdp_app_standard_priority_engine_hurry,8.23,"app, standard, priority, engine, hurry, creazy, album, checklist, clothing, bookmark"
234,hdp_attractive_Adobe_wisdom_lingo_roaming,7.4,"attractive, Adobe, wisdom, lingo, roaming, website, excellent, teamspeak, crashing, 2005"
235,hdp_ability_disappointment_extended_DropBox_version,8.97,"ability, disappointment, extended, DropBox, version, Dis, ACLS, bravo, agreement, good"
236,hdp_invoice_devotional_maze_heavy_Fun,8.2,"invoice, devotional, maze, heavy, Fun, Palm, import, valuable, drug, orginal"
237,hdp_aren_cure_membership_iteedoe_frequency,7.85,"aren, cure, membership, iteedoe, frequency, note, diner, course, environment, mah"
238,hdp_ancient_priority_Mac_minimum_Yay,9.0,"ancient, priority, Mac, minimum, Yay, MCPE, worldwide, worm, fill, awsm"
239,hdp_luuuuuuuurrrrrve_line_gadget_dishwasher_brave,9.14,"luuuuuuuurrrrrve, line, gadget, dishwasher, brave, stat, context, compass, glee, spending"
240,hdp_term_critical_app_name_Catholics,8.4,"term, critical, app, name, Catholics, appwebsite, glue, hefty, piece, gd"
241,hdp_20_cross_work_superb_repeat,8.43,"20, cross, work, superb, repeat, doc, knitting, keyboard, trust, mechanism"
242,hdp_Saturday_draft_pronunciation_traveller_standpoint,9.17,"Saturday, draft, pronunciation, traveller, standpoint, reference, opinion, awe, motel, wedding"
243,hdp_opener_clearance_agency_instruction_war,7.4,"opener, clearance, agency, instruction, war, feedback, HTC, home, massive, maze"
244,hdp_surgery_Mailbox_kind_stack_tonite,9.0,"surgery, Mailbox, kind, stack, tonite, copy, automatic, strange, additional, counterintuitive"
245,hdp_sync_student_unlimited_ccitt_outlier,9.64,"sync, student, unlimited, ccitt, outlier, globe, fx, funny, landscape, use"
246,hdp_drool_Ramlalupadhyay1010_Palm_comprehensive_loan,8.0,"drool, Ramlalupadhyay1010, Palm, comprehensive, loan, coolness, judge, active, annoyed, iMovie"
247,hdp_section_unfair_Instagram_universal_lauderdale,7.86,"section, unfair, Instagram, universal, lauderdale, scrub, skritter, Notes, refresh, 521"
248,hdp_board_wht_forgetting_chef_yo,7.41,"board, wht, forgetting, chef, yo, datausageon, aid, aim, Evania, date"
249,hdp_functional_wonderful_beauty_Zombies_cursor,8.71,"functional, wonderful, beauty, Zombies, cursor, fan, mileage, plain, Maricela, substitute"
250,hdp_report_browser_overwhelmed_aa_style,8.0,"report, browser, overwhelmed, aa, style, use, cop, tricky, good, gathering"
251,hdp_exotic_new_inconsistent_possibility_artistic,7.82,"exotic, new, inconsistent, possibility, artistic, program, Pleaseee, core, professional, particular"
252,hdp_feadback_criticism_convientent_mechanism_ipadiphone,8.38,"feadback, criticism, convientent, mechanism, ipadiphone, app, percent, mature, listen, reflection"
253,hdp_rhubarb_Super_Handy_minecraft_country,9.27,"rhubarb, Super, Handy, minecraft, country, programme, eazy, tip, folder, LuV"
254,hdp_portable_MCPE_coffee_restyling_dhis,8.17,"portable, MCPE, coffee, restyling, dhis, mejorar, flashlight, swing, 8, equipment"
255,hdp_annual_pinterest_extra_ACLS_foursome,8.4,"annual, pinterest, extra, ACLS, foursome, comparison, airline, Donzii, impact, Tacoma"
256,hdp_add_random_mate_mejorar_prettier,7.87,"add, random, mate, mejorar, prettier, Luis, announcement, dependable, excelent, fav"
257,hdp_alpha_pleasing_humbug_45_clipper,7.0,"alpha, pleasing, humbug, 45, clipper, lotwhen, buddy, bandwagon, watsapp, evernote"
258,hdp_device_financial_unlimited_nature_active,7.66,"device, financial, unlimited, nature, active, science, sms, eazy, app, compassion"
259,hdp_offering_charm_architect_August_grad,7.85,"offering, charm, architect, August, grad, mejorar, multi, secure, shocked, Ganesh"
260,hdp_cent_decency_24th_pinner_application,8.0,"cent, decency, 24th, pinner, application, PowerPoint, appwebsite, September, hundred, land"
261,hdp_eye_palm_statement_checklist_good,8.54,"eye, palm, statement, checklist, good, occasional, sincere, Works, tumor, thesaurus"
262,hdp_ticket_app_aspect_countless_firmware,9.14,"ticket, app, aspect, countless, firmware, zoom, flex, stellar, happy, description"
263,hdp_restaurant_piture_massage_fantastic_rip,8.63,"restaurant, piture, massage, fantastic, rip, historical, messy, belt, droid, Yay"
264,hdp_thrilled_Yojimbo_brouse_inspiration_historical,7.67,"thrilled, Yojimbo, brouse, inspiration, historical, series, couple, Instapaper, misleading, dull"
265,hdp_rest_balanced_ultimate_speed_circle,8.29,"rest, balanced, ultimate, speed, circle, art, near, program, Miami, necessity"
266,hdp_Keek_culture_evolve_bah_evening,7.2,"Keek, culture, evolve, bah, evening, counterintuitive, live, save, gossip, patience"
267,hdp_Miniusa_iPhoto_topic_El_Whaaaataappp,7.0,"Miniusa, iPhoto, topic, El, Whaaaataappp, sleep, mom, logic, coin, workout"
268,hdp_resource_button_lovely_usb_Houston,8.5,"resource, button, lovely, usb, Houston, lso, save, regularity, season, header"
269,hdp_sensor_bored_978_fashion_gmail,8.2,"sensor, bored, 978, fashion, gmail, major, extra, Apple, pop, drawback"
270,hdp_zen_awaome_pretty_flight_wife,8.74,"zen, awaome, pretty, flight, wife, ice, happy, wrong, code, collection"
271,hdp_flyer_effectiveness_laugh_travelsthe_result,9.09,"flyer, effectiveness, laugh, travelsthe, result, thought, input, place, major, annual"
272,hdp_ful_downcast_versatile_son_tetszett,7.43,"ful, downcast, versatile, son, tetszett, plaquenil, newbie, Japanese, doctor, complaint"
273,hdp_little_super_London_awaome_twitter,9.0,"little, super, London, awaome, twitter, ecard, hourly, complex, globe, Awesom"
274,hdp_devoloper_bonus_sad_category_gertst,8.51,"devoloper, bonus, sad, category, gertst, app, cell, site, emulator, connection"
275,hdp_tracing_nurse_Avg_thig_floor,6.89,"tracing, nurse, Avg, thig, floor, priceless, generic, mundo, tour, buy"
276,hdp_knowledgable_unlimited_zone_mod_obsolete,7.78,"knowledgable, unlimited, zone, mod, obsolete, platform, edithing, review, print, table"
277,hdp_wifi_person_iexplorer_language_os,7.88,"wifi, person, iexplorer, language, os, pricy, genration, architect, atrocious, outliner"
278,hdp_income_perspective_Magellan_versa_lackluster,8.36,"income, perspective, Magellan, versa, lackluster, o, Pin, science, info, factor"
279,hdp_God_enjoyable_knitting_ilike_upgrade,9.43,"God, enjoyable, knitting, ilike, upgrade, texting, marketplace, week, organizing, GTD"
280,hdp_program_pure_help_geocache_tetszett,8.23,"program, pure, help, geocache, tetszett, setup, inevitable, password, parsec, Magellan"
281,hdp_Samsung_animal_Railalupadhyay1010_drive_interesting,8.74,"Samsung, animal, Railalupadhyay1010, drive, interesting, 2inch, size, 13, Twitter, use"
282,hdp_scanning_overwhelmed_tetszett_tobe_porn,9.0,"scanning, overwhelmed, tetszett, tobe, porn, economical, Wish, hang, essential, stat"
283,hdp_rate_record_environment_organizer_bonus,9.2,"rate, record, environment, organizer, bonus, competition, 5th, tonight, absolute, sick"
284,hdp_rent_app_ACLS_priceless_beneficial,8.79,"rent, app, ACLS, priceless, beneficial, angle, part, motivation, sword, com"
285,hdp_EverNote_season_yay_perfect_action,8.44,"EverNote, season, yay, perfect, action, box, 10, mean, Dhansu, intervention"
286,hdp_gem_zoom_Mandarin_honest_menu,8.0,"gem, zoom, Mandarin, honest, menu, msgs, shocked, mx880, 85, term"
287,hdp_style_nursing_green_hw_motorcycle,8.17,"style, nursing, green, hw, motorcycle, nice, Easy, manuel, steep, Reviewers"
288,hdp_searchable_country_party_brand_denial,7.8,"searchable, country, party, brand, denial, pinner, quote, truthful, Paris, bitter"
289,hdp_motor_significant_intuitive_app_access,8.27,"motor, significant, intuitive, app, access, down, low, travelsthe, awesomeness, wowww"
290,hdp_baby_People_initial_app_relevant,8.43,"baby, People, initial, app, relevant, lso, fun, track, epic, relative"
291,hdp_trick_ringtone_cooler_mb_news,10.0,"trick, ringtone, cooler, mb, news, CM, exam, msgs, 4watsapp, pygmy"
292,hdp_joy_gas_generic_savvy_uose,8.78,"joy, gas, generic, savvy, uose, scanning, ral, comicbook, situation, chart"
293,hdp_practical_tripadvisor_label_Daily_hostess,7.64,"practical, tripadvisor, label, Daily, hostess, mess, tuis, difficulty, April, Stanza"
294,hdp_default_shut_answer_public_campaign,9.4,"default, shut, answer, public, campaign, palm, 1st, fashionista, pleasing, freak"
295,hdp_able_opposite_mentality_arrow_NSA,7.17,"able, opposite, mentality, arrow, NSA, breaker, pad, audio, area, organize"
296,hdp_parsec_convientent_Word_terrific_sale,7.67,"parsec, convientent, Word, terrific, sale, Mapper, brother, threat, frustrating, hard"
297,hdp_arrangement_itmaybe_primitive_functional_follower,7.86,"arrangement, itmaybe, primitive, functional, follower, dependable, frequent, phone, miningame, spreadsheet"
298,hdp_sliced_fault_bcom_Gameloft_clothe,7.09,"sliced, fault, bcom, Gameloft, clothe, classroom, drug, 247, dozen, ea"
299,hdp_airline_shot_franchise_contract_comparison,6.5,"airline, shot, franchise, contract, comparison, boss, coach, app, budgeting, TBT"
300,hdp_delete_eatery_island_dissatisfied_rap,8.71,"delete, eatery, island, dissatisfied, rap, America, notebook, bday, cap, cut"
301,hdp_jst_perspective_prowl_alsop_basis,7.33,"jst, perspective, prowl, alsop, basis, HP, premium, tf101, scene, hair"
302,hdp_TRUE_tuck_NSA_mini_tap,8.55,"TRUE, tuck, NSA, mini, tap, nce, tooo, compression, separate, constant"
303,hdp_prettier_kay_majority_ppl_mileage,8.86,"prettier, kay, majority, ppl, mileage, humanity, plain, 1000, appliance, grateful"
304,hdp_idevice_impossible_tel_Mandarin_hd,6.0,"idevice, impossible, tel, Mandarin, hd, family, car, calling, instsgram, craft"
305,hdp_41_app_guess_article_title,8.94,"41, app, guess, article, title, dam, math, gmailcom, hat, docs"
306,hdp_Travelocity_curve_period_clever_upper,5.33,"Travelocity, curve, period, clever, upper, receipt, messy, island, highness, group"
307,hdp_speed_iphone_sprint_fun_ADD,9.14,"speed, iphone, sprint, fun, ADD, CNN, Font, fresh, goal, orthopedic"
308,hdp_chance_huge_addictive_handheld_pad,9.0,"chance, huge, addictive, handheld, pad, 80, Shazam, calculator, nifty, othman"
