Id,TextTopics,TopicPercentages
99_3005_4,112,0.8802415
99_3006_4,110,0.76436955
99_3008_4,92,0.31465778
99_3015_4,83,0.31553504
99_3022_4,70,0.64919555
99_3024_4,80,0.48386467
99_3030_4,132,0.5904963
99_3031_4,94,0.4936156
99_3034_4,120,0.48141983
99_3035_4,120,0.6994301
99_3039_4,110,0.48294863
99_3041_4,134,0.6666666666666666
99_3044_4,99,0.49164614
99_3045_4,117,0.48312983
99_3056_4,94,0.76794845
99_3057_4,88,0.4837061
99_3062_4,99,0.66240793
99_3064_4,99,0.48369816
99_3071_4,84,0.5057049
99_3080_4,88,0.4837061
99_3093_4,110,0.6495697
99_3102_4,101,0.59529674
99_3110_4,117,0.6496882
99_3124_4,86,0.66800636
99_3127_4,86,0.37853995
99_3131_4,110,0.6495696
99_3132_4,136,0.3333333333333333
99_3133_4,136,0.3333333333333333
99_3137_4,98,0.42013642
99_3139_4,94,0.4875459
99_3142_4,120,0.48142728
99_3145_4,84,0.3799264
99_3146_4,119,0.652862
99_3148_4,115,0.6483198
99_3149_4,83,0.64965826
99_3151_4,110,0.48295513
99_3156_4,80,0.48386407
99_3157_4,122,0.37054858
99_3159_4,72,0.3343089
99_3161_4,70,0.649206
99_3162_4,80,0.48386407
99_3163_4,136,0.6666666666666666
99_3164_4,116,0.37469
99_3165_4,131,0.39470044
99_3168_4,90,0.48302695
99_3170_4,136,0.4
99_3174_4,77,0.4821877
99_3180_4,77,0.48218912
99_3190_4,80,0.48386407
99_3192_4,75,0.49503502
99_3193_4,121,0.30878016
99_3199_4,84,0.50570595
99_3200_4,93,0.74188745
99_3206_4,96,0.7061021
99_3210_4,84,0.6649919
99_3211_4,136,0.3333333333333333
99_3212_4,127,0.48457146
99_3228_4,82,0.4772062
99_3229_4,84,0.5057078
99_3230_4,117,0.4831293
99_3240_4,120,0.5903195
99_3242_4,136,0.4
99_3249_4,70,0.3947462
99_3252_4,106,0.7219581
99_3255_4,70,0.48241884
99_3258_4,136,0.3333333333333333
99_3259_4,80,0.7510878
99_3263_4,136,0.6666666666666666
99_3268_4,104,0.8654922
99_3269_4,100,0.32406154
99_3270_4,112,0.33097842
99_3275_4,100,0.48274815
99_3282_4,130,0.6209755
99_3283_4,127,0.48457146
99_3285_4,129,0.77042913
99_3287_4,131,0.6490267
99_3289_4,100,0.48275456
99_3290_4,85,0.7346383
99_3291_4,75,0.7418518
99_3293_4,91,0.48211038
99_3295_4,107,0.48259723
99_3296_4,116,0.61637765
99_3299_4,115,0.37211555
99_3300_4,101,0.44907337
99_3302_4,86,0.32646832
99_3303_4,110,0.48295513
99_3304_4,94,0.33185738
99_3307_4,87,0.3420303
99_3309_4,110,0.48295513
99_3311_4,93,0.5901517
99_3316_4,107,0.49108228
99_3318_4,127,0.4845704
99_3323_4,84,0.5057016
99_3329_4,87,0.3019119
