Id,Subject,MainText,Text,TextTokens,TextTopics,TopicPercentages
99_3004_5,feature request,Make it like better with a giant pig bigger than king pig ,feature request Make it like better with a giant pig bigger than king pig,[],[],[]
99_3011_5,feature request,Please bring back the trajectory line or at least make it to where you can turn it on or off ,feature request Please bring back the trajectory line or at least make it to where you can turn it on or off,[],[],[]
99_3013_5,feature request,I will say you should make shock so close to the other buttons because I like to use the birds you provide ,feature request I will say you should make shock so close to the other buttons because I like to use the birds you provide,[],[],[]
99_3019_5,feature request,I need to save my photos ,feature request I need to save my photos,[],[],[]
99_3023_5,feature request,Please please give us the ability to rename files from this app ,feature request Please please give us the ability to rename files from this app,[],[],[]
99_3028_5,feature request,Only thing is they need to offer better customized pricing for upgrade plans ,feature request Only thing is they need to offer better customized pricing for upgrade plans,[],[],[]
99_3036_5,feature request,U Dropbox employers improved mostly everything but in the app it should have the ability to rename files whereas the web version can ,feature request U Dropbox employers improved mostly everything but in the app it should have the ability to rename files whereas the web version can,[],[],[]
99_3037_5,feature request,Ask me if I would like to use background uploading only once and remember my preference don t pester me every time I open the app to turn that feature on ,feature request Ask me if I would like to use background uploading only once and remember my preference don t pester me every time I open the app to turn that feature on,[],[],[]
99_3085_5,feature request,Please get a fix out soon ,feature request Please get a fix out soon,[],[],[]
99_3129_5,feature request,This is a little inconvenient and could be improved ,feature request This is a little inconvenient and could be improved,[],[],[]
99_3135_5,feature request,It would be nice if it would let you start typing the name of the board and it would pull it up ,feature request It would be nice if it would let you start typing the name of the board and it would pull it up,[],[],[]
99_3141_5,feature request, I m kinda technologically challenged I admit but ideally the app should be programmed and designed with people like me in mind ,feature request  I m kinda technologically challenged I admit but ideally the app should be programmed and designed with people like me in mind,[],[],[]
99_3147_5,feature request,I wish there was a way to put my boards in alphabetical order without moving them all individually ,feature request I wish there was a way to put my boards in alphabetical order without moving them all individually,[],[],[]
99_3166_5,feature request,I like pinterest a lot but it really needs to be managed better ,feature request I like pinterest a lot but it really needs to be managed better,[],[],[]
99_3173_5,feature request,I feel that they need to remove them ,feature request I feel that they need to remove them,[],[],[]
99_3188_5,feature request,Please change it back to how it was before ,feature request Please change it back to how it was before,[],[],[]
99_3191_5,feature request,Very annoyed that I can t delete pins from notifications tab ,feature request Very annoyed that I can t delete pins from notifications tab,[],[],[]
99_3196_5,feature request, n I would like to suggest the idea that Pinterest create folders for our boards ,feature request  n I would like to suggest the idea that Pinterest create folders for our boards,[],[],[]
99_3197_5,feature request,I think we should get more ,feature request I think we should get more,[],[],[]
99_3254_5,feature request, nWish i could have more than 3 secret boards please add the feature ,feature request  nWish i could have more than 3 secret boards please add the feature,[],[],[]
99_3261_5,feature request,I liked having the letters on the side so I didn t have to roll through my entire list of boards to pin something ,feature request I liked having the letters on the side so I didn t have to roll through my entire list of boards to pin something,[],[],[]
99_3262_5,feature request,Please find a way to sort the DIY and Etsy stuff apart from each other it s frustrating to click on a project only to find you ve been diverted to an Etsy store ,feature request Please find a way to sort the DIY and Etsy stuff apart from each other it s frustrating to click on a project only to find you ve been diverted to an Etsy store,[],[],[]
99_3267_5,feature request,I still feel all these larger companies should have the email synch up with my app so when I get an alert and click on the email it should go to my app not the web page ,feature request I still feel all these larger companies should have the email synch up with my app so when I get an alert and click on the email it should go to my app not the web page,[],[],[]
99_3315_5,feature request,Would be nice to easily move pins if pinned mistakingly to wrong bored ,feature request Would be nice to easily move pins if pinned mistakingly to wrong bored,[],[],[]
99_3346_5,feature request,I receive a lot of pins and its frustrating that the pins show up small I think it would be cool if it comes up like the pins do when we are pinning ,feature request I receive a lot of pins and its frustrating that the pins show up small I think it would be cool if it comes up like the pins do when we are pinning,[],[],[]
99_3347_5,feature request,Having the pins on the left needs to be moved back to the middle ,feature request Having the pins on the left needs to be moved back to the middle,[],[],[]
