Id,TextTopics,TopicPercentages
99_3004_5,55,0.8651422
99_3011_5,51,0.83742887
99_3013_5,43,0.86544025
99_3023_5,51,0.6650815
99_3036_5,14,0.6677119
99_3037_5,33,0.9002502
99_3085_5,39,0.7960671
99_3129_5,20,0.8376
99_3135_5,60,0.8375349
99_3141_5,36,0.63669056
99_3173_5,39,0.7230165
99_3188_5,39,0.7230165
99_3197_5,39,0.7230165
99_3254_5,44,0.8649596
99_3261_5,37,0.61549056
99_3262_5,36,0.9276723
99_3267_5,19,0.9389442
99_3315_5,60,0.8853771
99_3347_5,9,0.6379993
99_3355_5,39,0.83862686
99_3358_5,22,0.8850218
99_3370_5,48,0.79381937
99_3420_5,6,0.8149985
99_3425_5,27,0.91111404
99_3441_5,62,0.39583686
99_3442_5,44,0.8367771
99_3449_5,62,0.35167888
99_3455_5,39,0.7230165
99_3456_5,6,0.86747
99_3461_5,6,0.79756474
99_3466_5,6,0.79756474
99_3467_5,39,0.7230165
99_3474_5,51,0.88530284
99_3525_5,52,0.9338238
99_3530_5,62,0.38123026
99_3542_5,12,0.79516315
99_3547_5,62,0.84146297
99_3595_5,62,0.6961738
99_3632_5,47,0.9112269
99_3647_5,43,0.9277849
99_3652_5,65,0.8658628
99_3654_5,47,0.8371208
99_3659_5,6,0.6948043
99_3662_5,65,0.8658635
99_3665_5,70,0.83714956
99_3671_5,40,0.8650083
99_3692_5,33,0.92797977
99_3698_5,51,0.88530296
99_3700_5,39,0.7230165
99_3707_5,45,0.8647987
99_3710_5,37,0.8856854
99_3718_5,66,0.9112073
99_3721_5,7,0.5980484
99_3723_5,14,0.9202979
99_3742_5,20,0.86563957
99_3743_5,27,0.88493896
99_3745_5,46,0.8647986
99_3746_5,60,0.837535
99_3755_5,19,0.9111652
99_3768_5,3,0.9275285
99_3782_5,6,0.9216091
99_3784_5,49,0.8997223
99_3786_5,37,0.8659468
99_3789_5,43,0.9204097
99_3803_5,9,0.36806872
99_3804_5,62,0.6327666
99_3810_5,62,0.64581907
99_3815_5,39,0.7230165
99_3830_5,65,0.7719507
99_3843_5,52,0.62845397
99_3847_5,39,0.42528468
99_3855_5,17,0.9393292
99_3858_5,24,0.83700776
99_3859_5,39,0.7230165
