Id,TextTopics,TopicPercentages
99_3005_4,265,0.4528875375066677
99_3006_4,243,0.5225606910295059
99_3008_4,352,0.49476084809894294
99_3010_4,284,0.6693500795265627
99_3015_4,326,0.8345322585667199
99_3020_4,286,0.7517709545061524
99_3022_4,354,0.6687098314243248
99_3024_4,233,0.5044155740755989
99_3025_4,208,0.6690176857773866
99_3027_4,230,0.801134276615089
99_3030_4,235,0.8014810061361081
99_3031_4,297,0.7516972726787969
99_3034_4,299,0.5037388506998604
99_3035_4,231,0.8581792034394959
99_3039_4,330,0.7514898534687228
99_3044_4,261,0.7520579851893446
99_3045_4,210,0.6690995672273936
99_3052_4,230,0.7514178457688618
99_3056_4,273,0.8895604617004751
99_3057_4,256,0.5037185954737081
99_3062_4,215,0.9173002778378975
99_3064_4,335,0.5035290597170801
99_3065_4,265,0.7516822781284791
99_3071_4,284,0.5040251192898436
99_3072_4,237,0.8580782916487615
99_3080_4,256,0.5037185954737081
99_3083_4,323,0.801290962872819
99_3086_4,235,0.900740503068054
99_3093_4,284,0.6693500795265628
99_3101_4,293,0.6684602320048998
99_3102_4,254,0.9006675296428338
99_3110_4,217,0.6693688578490551
99_3124_4,284,0.6693500795265628
99_3125_4,290,0.8581034569161724
99_3126_4,313,0.8759573287144711
99_3127_4,219,0.8016761217413773
99_3131_4,313,0.7519146574289428
99_3136_4,358,0.5
99_3137_4,228,0.8580640914961197
99_3139_4,333,0.5037896106560926
99_3142_4,248,0.5039409165725683
99_3145_4,233,0.8017662296302394
99_3146_4,240,0.6693471871631759
99_3148_4,295,0.6684991430137791
99_3149_4,319,0.6689089919547768
99_3150_4,339,0.8013590746185344
99_3151_4,324,0.5028699025585015
99_3152_4,230,0.7514178457688618
99_3156_4,286,0.5035419090123041
99_3157_4,319,0.6067403179556891
99_3160_4,350,0.857869953264534
99_3161_4,354,0.6687098314243248
99_3162_4,286,0.5035419090123041
99_3164_4,219,0.8016761217413773
99_3165_4,310,0.8013113611607353
99_3168_4,219,0.5041903043534439
99_3174_4,320,0.50327920972937
99_3180_4,305,0.5039367400916824
99_3185_4,248,0.7519704582862847
99_3190_4,286,0.5035419090123041
99_3192_4,258,0.5345431216109923
99_3193_4,344,0.8012755588556623
99_3194_4,240,0.6693471871631759
99_3199_4,284,0.5040251192898436
99_3200_4,212,0.5203466300997869
99_3206_4,221,0.8581243191752577
99_3210_4,349,0.6689343636026672
99_3212_4,274,0.5037992441359195
99_3221_4,358,0.6
99_3222_4,256,0.7518592977368544
99_3228_4,258,0.6074737583487243
99_3229_4,284,0.5040251192898436
99_3230_4,217,0.504053286773582
99_3233_4,324,0.668579935039001
99_3240_4,206,0.8015431007010165
99_3241_4,248,0.6692939443817127
99_3249_4,254,0.8013350592856674
99_3252_4,345,0.6160547282834882
99_3255_4,305,0.6692911600611219
99_3259_4,255,0.8895657108921567
99_3268_4,217,0.5337941144389459
99_3269_4,295,0.8342495715068894
99_3270_4,258,0.889789531791932
99_3275_4,301,0.5037065016725493
99_3276_4,313,0.7519146574289429
99_3281_4,276,0.668977385626246
99_3283_4,274,0.5037992441359195
99_3284_4,345,0.834345656005919
99_3285_4,350,0.5596259710453144
99_3286_4,252,0.7518289706221112
99_3287_4,343,0.6685922353099139
99_3289_4,248,0.5039409165725683
99_3290_4,219,0.7520951521767223
99_3291_4,209,0.8758296928365517
99_3292_4,344,0.7515944485695779
99_3293_4,274,0.5037992441359195
99_3295_4,260,0.503030288541591
99_3296_4,263,0.834652317434417
