Id,TextTopics,TopicPercentages
99_3007_2,45,0.51880145
99_3009_2,78,0.40808016
99_3016_2,78,0.5432902
99_3017_2,15,0.6832507
99_3018_2,78,0.521328
99_3026_2,76,0.8828161
99_3033_2,7,0.68357295
99_3038_2,63,0.79395604
99_3040_2,46,0.49617535
99_3042_2,28,0.47019905
99_3043_2,61,0.6836806
99_3046_2,85,0.49924478
99_3048_2,78,0.698517
99_3049_2,28,0.8438269
99_3051_2,78,0.5432902
99_3054_2,78,0.54329026
99_3058_2,30,0.43782762
99_3059_2,79,0.4131606
99_3061_2,76,0.7639164
99_3063_2,28,0.68452924
99_3067_2,78,0.5432902
99_3068_2,79,0.6832908
99_3069_2,78,0.6717071
99_3070_2,11,0.84296066
99_3073_2,18,0.5097745
99_3074_2,75,0.6875971
99_3075_2,81,0.68342173
99_3076_2,47,0.6749382
99_3078_2,46,0.8428024
99_3079_2,78,0.77499264
99_3081_2,61,0.6836806
99_3084_2,78,0.5934441
99_3087_2,14,0.6987415
99_3088_2,89,0.68836486
99_3089_2,82,0.69347614
99_3090_2,78,0.5432902
99_3091_2,35,0.8188142
99_3092_2,15,0.6011142
99_3095_2,54,0.6829075
99_3096_2,82,0.59694654
99_3098_2,89,0.7674148
99_3099_2,30,0.5739146
99_3104_2,22,0.8112125
99_3105_2,85,0.509585
99_3106_2,78,0.5432902
99_3107_2,78,0.4701895
99_3108_2,78,0.69851696
99_3109_2,45,0.7635437
99_3111_2,13,0.44138417
99_3112_2,78,0.5432902
99_3116_2,61,0.44628212
99_3118_2,85,0.5347662
99_3119_2,75,0.49578625
99_3120_2,76,0.34388894
99_3122_2,76,0.5208033
99_3128_2,15,0.30380112
99_3134_2,75,0.3887941
99_3138_2,78,0.77499276
99_3140_2,41,0.49641147
99_3143_2,70,0.43341053
99_3144_2,7,0.44221264
99_3153_2,78,0.69851714
99_3155_2,86,0.6826436
99_3158_2,89,0.3219693
99_3169_2,30,0.5010301
99_3171_2,78,0.3236343
99_3172_2,2,0.6604279
99_3175_2,71,0.68396324
99_3176_2,2,0.88249254
99_3177_2,28,0.6845868
99_3179_2,65,0.60411465
99_3181_2,78,0.5432902
99_3182_2,64,0.81158507
99_3183_2,78,0.6024259
99_3184_2,3,0.6836317
99_3187_2,78,0.6625131
99_3189_2,24,0.75310904
99_3202_2,78,0.5186971
99_3203_2,78,0.54329026
99_3204_2,78,0.53291154
99_3205_2,40,0.8826683
99_3207_2,17,0.39254075
99_3208_2,78,0.7749927
99_3209_2,78,0.698517
99_3213_2,60,0.81149626
99_3214_2,60,0.76367944
99_3215_2,60,0.60915893
99_3217_2,60,0.7636795
99_3218_2,85,0.68277806
99_3219_2,60,0.5987027
99_3220_2,78,0.7749927
99_3223_2,60,0.4899548
99_3224_2,60,0.6833539
99_3225_2,60,0.86580247
99_3226_2,78,0.698517
99_3227_2,60,0.5100155
99_3232_2,71,0.48444572
99_3234_2,75,0.45954996
99_3236_2,76,0.7007182
99_3237_2,90,0.45554787
99_3238_2,72,0.47956026
99_3239_2,75,0.3073915
99_3243_2,75,0.49133134
99_3244_2,89,0.6883648
99_3245_2,78,0.69851714
99_3248_2,7,0.49032572
99_3250_2,78,0.5432902
99_3253_2,50,0.6012487
99_3256_2,71,0.76413065
99_3271_2,45,0.6831761
99_3272_2,45,0.56754804
99_3278_2,63,0.76364267
99_3279_2,78,0.5432902
99_3297_2,72,0.3183255
99_3301_2,78,0.44818917
99_3306_2,78,0.6985171
99_3313_2,89,0.7674159
99_3319_2,89,0.3694588
99_3320_2,89,0.6883644
99_3324_2,50,0.60845363
99_3327_2,90,0.7634303
99_3328_2,61,0.8659378
99_3335_2,41,0.33746588
99_3341_2,45,0.76354337
99_3343_2,18,0.8656666
99_3351_2,78,0.698513
99_3352_2,78,0.5432902
99_3356_2,89,0.3651371
99_3361_2,18,0.81130564
99_3366_2,42,0.34780753
99_3367_2,71,0.6839571
99_3368_2,78,0.6985171
99_3371_2,41,0.68300736
99_3372_2,78,0.69851714
99_3373_2,78,0.5432902
99_3374_2,78,0.54329026
99_3376_2,78,0.47469854
99_3377_2,78,0.5432902
99_3384_2,78,0.5432902
99_3387_2,7,0.6835724
99_3394_2,41,0.9279364
99_3396_2,61,0.3696394
99_3397_2,78,0.5432902
99_3398_2,3,0.5019406
99_3405_2,75,0.603605
99_3410_2,42,0.70451903
99_3411_2,89,0.38377348
99_3421_2,44,0.73187023
99_3424_2,22,0.37080914
99_3426_2,30,0.4830575
99_3427_2,50,0.37173167
99_3428_2,41,0.6805131
99_3429_2,78,0.5432902
99_3430_2,72,0.56165427
99_3432_2,71,0.68396276
99_3435_2,60,0.49648046
99_3436_2,78,0.6985171
99_3438_2,40,0.67208624
99_3439_2,47,0.6833698
99_3444_2,75,0.348436
99_3446_2,78,0.7749927
99_3447_2,78,0.5432902
99_3454_2,30,0.62363195
99_3457_2,78,0.7246466
99_3468_2,42,0.68332076
99_3470_2,78,0.5432902
99_3471_2,82,0.35174784
99_3473_2,51,0.33899432
99_3478_2,78,0.5432902
99_3483_2,75,0.47013626
99_3487_2,64,0.4080293
99_3489_2,78,0.37435558
99_3491_2,30,0.7999819
99_3493_2,42,0.6835416
99_3494_2,15,0.68325007
99_3496_2,15,0.6200956
99_3497_2,78,0.5622052
99_3498_2,75,0.63906556
99_3503_2,77,0.69526255
99_3504_2,50,0.6618898
99_3506_2,78,0.5432902
99_3510_2,78,0.36434913
99_3516_2,71,0.68396336
99_3519_2,18,0.6829919
99_3520_2,78,0.5432902
99_3523_2,78,0.48817125
99_3526_2,50,0.4224097
99_3529_2,20,0.7246037
99_3536_2,22,0.86560065
99_3537_2,75,0.76684284
99_3541_2,78,0.753723
99_3543_2,89,0.49735624
99_3544_2,78,0.49736577
99_3548_2,75,0.37267056
99_3550_2,93,0.4
99_3551_2,50,0.36992416
99_3554_2,78,0.6130014
99_3556_2,75,0.33711192
99_3557_2,79,0.68329096
99_3574_2,30,0.32489327
99_3582_2,89,0.6359812
99_3586_2,22,0.60450625
99_3588_2,30,0.4511863
99_3589_2,73,0.6831076
99_3590_2,21,0.47305357
99_3598_2,78,0.69851714
99_3605_2,71,0.6839634
99_3607_2,60,0.38622418
99_3608_2,78,0.4984683
99_3609_2,75,0.4975076
99_3610_2,71,0.6839629
99_3614_2,20,0.35400888
99_3621_2,3,0.32617775
99_3622_2,78,0.698517
99_3623_2,81,0.6834218
99_3625_2,78,0.6985171
99_3626_2,78,0.5432902
99_3633_2,78,0.55552
99_3636_2,75,0.3628018
99_3637_2,5,0.6306292
99_3639_2,4,0.47800997
99_3643_2,78,0.77499276
99_3645_2,50,0.3906541
99_3646_2,78,0.5432902
99_3648_2,26,0.5778281
99_3649_2,78,0.5089733
99_3653_2,79,0.50996256
99_3655_2,9,0.88255715
99_3656_2,61,0.92808896
99_3657_2,65,0.89595604
99_3658_2,78,0.698517
99_3663_2,78,0.54329026
99_3669_2,39,0.8654724
99_3672_2,9,0.9061829
99_3674_2,15,0.8826594
99_3675_2,78,0.69851714
99_3677_2,34,0.73190266
99_3680_2,20,0.8826411
99_3682_2,89,0.68836474
99_3686_2,78,0.698517
99_3689_2,14,0.8825229
99_3690_2,59,0.8655705
99_3693_2,84,0.6827791
99_3694_2,89,0.68836486
99_3697_2,47,0.91486293
99_3701_2,63,0.86578286
99_3702_2,78,0.5432902
99_3708_2,6,0.68268925
99_3714_2,7,0.8827777
99_3717_2,78,0.5104385
99_3722_2,78,0.5432902
