Id,Name,PriorityScore,Remarks,Status
94,lda_road_internet_audio_rule_brother,8.0,"road, internet, audio, rule, brother, person, 100, muscle, condition, junk",3
95,lda_well_app_email_age_help,7.44,"well, app, email, age, help, frame, movie, quick, recommendation, option",3
96,lda_friendly_access_app_hole_Editing,8.59,"friendly, access, app, hole, Editing, time, collection, friend, touch, note",3
97,lda_voice_class_quote_able_little,8.45,"voice, class, quote, able, little, year, image, 2, old, story",3
98,lda_helpful_home_app_business_important,9.12,"helpful, home, app, business, important, fast, smooth, restaurant, website, TA",3
99,lda_application_wonderful_perfect_pic_app,8.87,"application, wonderful, perfect, pic, app, ability, way, book, smart, color",3
100,lda_essential_stop_Evernote_app_list,7.64,"essential, stop, Evernote, app, list, home, mark, rhubarb, birthday, kitchen",3
101,lda_convenient_food_reminder_magazine_support,8.67,"convenient, food, reminder, magazine, support, notebook, receipt, Nice, sport, clipping",3
102,lda_feature_app_improvement_college_student,7.92,"feature, app, improvement, college, student, sense, watsapp, cloud, sick, jump",3
103,lda_year_d_performance_post_app,9.14,"year, d, performance, post, app, m, OMG, couple, thank, program",3
104,lda_suite_Whatsapp_awesomeness_team_workout,7.62,"suite, Whatsapp, awesomeness, team, workout, office, resource, time, option, 90",3
105,lda_star_5_app_issue_little,7.64,"star, 5, app, issue, little, iPhone, device, direction, 2, option",3
106,lda_app_great_memory_Super_upgrade,8.57,"app, great, memory, Super, upgrade, note, function, feature, way, GPS",3
107,lda_app_Facebook_Samsung_interface_look,7.38,"app, Facebook, Samsung, interface, look, galaxy, note, professional, notebook, wish",3
108,lda_app_worth_beautiful_bit_world,8.53,"app, worth, beautiful, bit, world, reading, TripAdvisor, money, HTC, fact",3
109,lda_great_app_way_city_calculator,9.12,"great, app, way, city, calculator, goal, powerful, group, disease, plenty",3
110,lda_favorite_app_project_recipe_solution,8.65,"favorite, app, project, recipe, solution, diy, map, wonderful, scanner, home",3
111,lda_good_app_job_time_gr8,8.89,"good, app, job, time, gr8, backyard, level, way, close, traveler",3
