Id,Subject,MainText
1_1_1,Subject,MainText
1_2_2,Subject,MainText
99_3004_5,feature request,Make it like better with a giant pig bigger than king pig 
99_3005_4,information giving,These screens are small enough without crowding in more stuff Tuck it in with the rest of the add ons I never use and please get it out of my face 
99_3006_4,information giving,Dear Rovio If you absolutely must continue trying to squeeze dollars from your customers this way at least have the decency to include an opt out for those like myself who are absolutely NOT going to spend an amount equal to what I paid for the app in the first place just to have some gimmicky and expendable in game item 
99_3007_2,problem discovery,App crashes when new power up notice pops up 
99_3008_4,information giving,It would be nice to have an update that didn t crash the app 
99_3009_2,problem discovery,App crashes with new release 
99_3010_4,information giving,I have had no problems with any of the versions so far 
99_3011_5,feature request,Please bring back the trajectory line or at least make it to where you can turn it on or off 
99_3012_2,problem discovery,This is not worth buying it will crash right from the beginning 
99_3013_5,feature request,I will say you should make shock so close to the other buttons because I like to use the birds you provide 
99_3014_4,information giving,That needs to change 
99_3015_4,information giving,Similarly every single app that gets updated to a beautiful ios7 look is one I will not update 
99_3016_2,problem discovery,This should Really be fixed 
99_3017_2,problem discovery,And you still can t upload videos 
99_3018_2,problem discovery,Is it just me or is anyone else having the problem where the app won t even open at all 
99_3019_5,feature request,I need to save my photos 
99_3020_4,information giving,I ve never had any issues with it and have been a user for years 
99_3021_2,problem discovery,The app doesn t work unless you have the iOS 7 update and not all devices have that update so they should really fix this 
99_3022_4,information giving,I now see that you must have IO7 or better for the app 
99_3023_5,feature request,Please please give us the ability to rename files from this app 
99_3024_4,information giving,I ll rate 5 once you can view ' '
99_3025_4,information giving,I still cannot believe that the team at Dropbox STILL hasn 
99_3026_2,problem discovery,Sez needs software update but Apple sez software is uptodate 
99_3027_4,information giving,It would allow me to get work done on my phone and edit files on the go for projects 
99_3028_5,feature request,Only thing is they need to offer better customized pricing for upgrade plans 
99_3029_2,problem discovery,Please please FIX this video upload issue 
99_3030_4,information giving, nI would turn off automatic uploads but i need my regular photos to upload 
99_3031_4,information giving,Please please please these are easy changes it used to be this way so make it go back 
99_3032_2,problem discovery,Please fix the syncing issues with the iPad app 
99_3033_2,problem discovery,Trying to automate it would be good if it worked but it doesn t 
99_3034_4,information seeking,Why everything is so white 
99_3035_4,information giving,The pictures show a white background just like the iOS7 photo app 
99_3036_5,feature request,U Dropbox employers improved mostly everything but in the app it should have the ability to rename files whereas the web version can 
99_3037_5,feature request,Ask me if I would like to use background uploading only once and remember my preference don t pester me every time I open the app to turn that feature on 
99_3038_2,problem discovery,I ve been a loyal EN fan for years but just this week it s frozen and after reinstalling on both my iPad and iPhone it crashes each time I open it 
99_3039_4,information giving,Holidays are here and I m a disorganized mess without EN 
99_3040_2,problem discovery,For some reason it doesn t quite feel user friendly to me just yet 
99_3041_4,information giving,And it s all available on iPad and iPhone 
99_3042_2,problem discovery,Latest version crashes on launch on my iPad in iOS 7 
99_3043_2,problem discovery,I need my notes 
99_3044_4,information giving,Contacted Evernote support they are working on the fix 
99_3045_4,information giving,240 notes I can t see 
99_3046_2,problem discovery,It crashes all the time and the only way I can resolve is uninstall reinstall the app 
99_3047_2,problem discovery,The new version crashes on startup on my iPhone and iPad 
