Id,TextTopics,TopicPercentages
99_3005_4,45,0.8802415
99_3006_4,43,0.76436955
99_3008_4,25,0.31464884
99_3015_4,16,0.31555542
99_3022_4,3,0.6492045
99_3024_4,13,0.48386467
99_3030_4,65,0.5904963
99_3031_4,27,0.4936156
99_3034_4,53,0.4814197
99_3035_4,53,0.69943655
99_3039_4,43,0.48294863
99_3044_4,32,0.49164614
99_3045_4,50,0.48312983
99_3056_4,27,0.76794416
99_3057_4,21,0.4837061
99_3062_4,32,0.66240793
99_3064_4,32,0.48369816
99_3071_4,17,0.5057062
99_3077_4,66,0.4816671
99_3080_4,21,0.4837061
99_3093_4,43,0.6495694
99_3102_4,34,0.59529674
99_3110_4,50,0.6496882
99_3124_4,19,0.66800576
99_3127_4,19,0.3796759
99_3130_4,40,0.49107903
99_3131_4,43,0.6495696
99_3137_4,31,0.42014745
99_3139_4,27,0.48754585
99_3142_4,53,0.48142728
99_3145_4,17,0.3802795
99_3146_4,52,0.6528589
99_3148_4,48,0.6483198
99_3149_4,16,0.6496545
99_3151_4,43,0.48295513
99_3156_4,13,0.48386407
99_3157_4,55,0.3710831
99_3159_4,5,0.33411837
99_3161_4,3,0.6491942
99_3162_4,13,0.48386407
99_3164_4,49,0.37441772
99_3165_4,64,0.3947004
99_3168_4,23,0.48302686
99_3174_4,10,0.48218763
99_3180_4,10,0.48218912
99_3190_4,13,0.48386407
99_3192_4,8,0.49503508
99_3193_4,54,0.30872765
99_3195_4,20,0.30257896
99_3199_4,17,0.50570786
99_3200_4,26,0.74188745
99_3206_4,29,0.7061021
99_3210_4,17,0.664992
99_3212_4,60,0.48457146
99_3221_4,60,0.32025176
99_3228_4,15,0.47719216
99_3229_4,17,0.505707
99_3230_4,50,0.4831293
99_3235_4,38,0.4845899
99_3240_4,53,0.5903194
99_3249_4,3,0.39474657
99_3252_4,39,0.7219581
99_3255_4,3,0.48241884
99_3259_4,13,0.75105155
99_3264_4,38,0.4845899
99_3265_4,38,0.6506781
99_3268_4,37,0.8654923
99_3269_4,33,0.3240461
99_3270_4,45,0.3309784
99_3275_4,33,0.4827482
99_3282_4,63,0.62092584
99_3283_4,60,0.48457146
99_3285_4,62,0.77042913
99_3287_4,64,0.6490269
99_3289_4,33,0.48275456
99_3290_4,18,0.7346384
99_3291_4,8,0.7418518
99_3293_4,24,0.48211038
99_3295_4,40,0.48259723
99_3296_4,49,0.61661494
99_3299_4,48,0.37190267
99_3300_4,34,0.44931778
99_3302_4,19,0.3265566
99_3303_4,43,0.48295513
99_3304_4,27,0.33185738
99_3307_4,20,0.34199077
99_3309_4,43,0.48295513
99_3311_4,26,0.5901517
99_3316_4,40,0.48234925
99_3318_4,60,0.4845704
99_3321_4,32,0.4916445
99_3323_4,17,0.5057079
99_3329_4,20,0.3015523
99_3333_4,38,0.4845899
99_3336_4,21,0.49137294
99_3337_4,4,0.86557657
99_3338_4,60,0.4845718
99_3342_4,45,0.42416403
99_3349_4,27,0.6201485
99_3353_4,17,0.50570786
99_3354_4,38,0.4845899
99_3360_4,34,0.48240444
99_3375_4,22,0.4810182
99_3378_4,60,0.4920971
99_3379_4,60,0.39566702
99_3381_4,28,0.61673737
99_3383_4,60,0.4845718
99_3388_4,32,0.86598945
99_3389_4,32,0.4916491
99_3399_4,13,0.48553097
99_3415_4,53,0.5648816
99_3417_4,4,0.42429915
