Id,Name,PriorityScore,Remarks
235,lda_road_internet_audio_rule_brother,8.0,"road, internet, audio, rule, brother, person, 100, muscle, condition, junk"
236,lda_well_app_email_age_help,7.44,"well, app, email, age, help, frame, movie, quick, recommendation, option"
237,lda_friendly_access_app_hole_Editing,8.59,"friendly, access, app, hole, Editing, time, collection, friend, touch, note"
238,lda_voice_class_quote_able_little,8.35,"voice, class, quote, able, little, year, image, 2, old, story"
239,lda_helpful_home_app_business_important,9.12,"helpful, home, app, business, important, fast, smooth, restaurant, website, TA"
240,lda_application_wonderful_perfect_pic_app,8.87,"application, wonderful, perfect, pic, app, ability, way, book, smart, color"
241,lda_essential_stop_Evernote_app_list,7.64,"essential, stop, Evernote, app, list, home, mark, rhubarb, birthday, kitchen"
242,lda_convenient_food_reminder_magazine_support,8.67,"convenient, food, reminder, magazine, support, notebook, receipt, Nice, sport, clipping"
243,lda_feature_app_improvement_college_student,7.92,"feature, app, improvement, college, student, sense, watsapp, cloud, sick, jump"
244,lda_year_d_performance_post_app,9.14,"year, d, performance, post, app, m, OMG, couple, thank, program"
245,lda_suite_Whatsapp_awesomeness_team_workout,7.62,"suite, Whatsapp, awesomeness, team, workout, office, resource, time, option, 90"
246,lda_star_5_app_issue_little,7.64,"star, 5, app, issue, little, iPhone, device, direction, 2, option"
247,lda_app_great_memory_Super_upgrade,8.57,"app, great, memory, Super, upgrade, note, function, feature, way, GPS"
248,lda_app_Facebook_Samsung_interface_look,7.38,"app, Facebook, Samsung, interface, look, galaxy, note, professional, notebook, wish"
249,lda_app_worth_beautiful_bit_world,8.53,"app, worth, beautiful, bit, world, reading, TripAdvisor, money, HTC, fact"
250,lda_great_app_way_city_calculator,9.12,"great, app, way, city, calculator, goal, powerful, group, disease, plenty"
251,lda_favorite_app_project_recipe_solution,8.65,"favorite, app, project, recipe, solution, diy, map, wonderful, scanner, home"
252,lda_good_app_job_time_gr8,8.89,"good, app, job, time, gr8, backyard, level, way, close, traveler"
253,lda_idea_creative_intuitive_secret_hard,7.18,"idea, creative, intuitive, secret, hard, way, inspiration, app, Fun, picture"
254,lda_update_stuff_need_app_people,6.73,"update, stuff, need, app, people, week, 7, design, thing, recent"
255,lda_setting_app_notification_control_AWESOME,7.75,"setting, app, notification, control, AWESOME, great, campaign, AI, wind, paper"
256,lda_amazing_app_g_feature_target,8.92,"amazing, app, g, feature, target, lifesaver, iPad, version, uselful, 100"
257,lda_site_app_deal_people_good,8.56,"site, app, deal, people, good, great, card, true, Pretty, search"
258,lda_nice_app_follower_addition_option,8.62,"nice, app, follower, addition, option, 100, boredom, help, resourceful, Update"
259,lda_PDF_app_traveler_restaurant_useful,9.25,"PDF, app, traveler, restaurant, useful, Dropbox, reader, guy, small, frequent"
260,lda_easy_fantastic_computer_app_interface,8.64,"easy, fantastic, computer, app, interface, endless, way, ability, phone, satisfied"
261,lda_info_great_past_ton_picture,8.0,"info, great, past, ton, picture, quality, local, future, related, editor"
262,lda_photo_editor_multiple_app_evernote,9.04,"photo, editor, multiple, app, evernote, lover, head, Mac, function, little"
263,lda_user_experience_app_slow_screen,8.6,"user, experience, app, slow, screen, gift, attraction, fan, option, excellent"
264,lda_fun_recipe_simple_app_lot,7.84,"fun, recipe, simple, app, lot, tip, picture, store, indispensable, way"
265,lda_Evernote_board_list_late_variety,6.58,"Evernote, board, list, late, variety, planning, safe, possible, fix, collage"
266,lda_thing_place_house_party_able,7.41,"thing, place, house, party, able, picture, hair, little, thought, makeup"
267,lda_time_app_long_annoying_aap,8.12,"time, app, long, annoying, aap, verse, thing, thinking, quick, capability"
268,lda_change_forum_review_time_app,8.32,"change, forum, review, time, app, one, messenger, option, star, Galaxy"
269,lda_cool_app_whatsapp_2_dinner,8.38,"cool, app, whatsapp, 2, dinner, ad, mod, better, activity, account"
270,lda_free_app_lot_option_neat,7.69,"free, app, lot, option, neat, money, picture, saving, school, new"
271,lda_Pinterest_app_accurate_datum_time,6.98,"Pinterest, app, accurate, datum, time, service, thing, huge, way, line"
272,lda_trip_tool_advisor_inspiration_product,8.17,"trip, tool, advisor, inspiration, product, different, great, wrong, Xperia, road"
273,lda_new_old_device_fine_super,7.52,"new, old, device, fine, super, crash, design, productivity, list, bug"
274,lda_game_money_graphic_way_car,8.0,"game, money, graphic, way, car, control, price, paper, student, android"
275,lda_word_app_book_track_superb,8.62,"word, app, book, track, superb, perfect, today, thumb, load, way"
276,lda_problem_app_family_line_dollar,6.71,"problem, app, family, line, dollar, camera, holiday, event, huge, daughter"
277,lda_phone_pinterest_app_happy_mobile,8.33,"phone, pinterest, app, happy, mobile, able, best, layout, game, 80"
278,lda_funny_handy_android_kind_online,6.9,"funny, handy, android, kind, online, point, open, hope, way, sad"
279,lda_work_tool_personal_plan_month,8.14,"work, tool, personal, plan, month, able, Evernote, purpose, place, document"
280,lda_excellent_thank_app_category_tab,9.4,"excellent, thank, app, category, tab, resource, surprised, able, 2, flash"
281,lda_app_meeting_time_little_tough,7.76,"app, meeting, time, little, tough, mode, great, golf, club, distance"
282,lda_day_life_app_website_time,8.74,"day, life, app, website, time, ease, guide, battery, moment, title"
283,lda_note_available_app_Evernote_number,7.88,"note, available, app, Evernote, number, web, time, platform, card, sync"
284,lda_app_sync_great_price_time,8.12,"app, sync, great, price, time, flight, c, run, touch, way"
285,lda_love_Love_app_3_addictive,9.22,"love, Love, app, 3, addictive, step, Picsart, brain, time, right"
286,lda_4_app_date_creativity_finger,8.56,"4, app, date, creativity, finger, inspiring, screen, feature, awesome, release"
287,lda_awesome_app_useful_productivity_spot,9.26,"awesome, app, useful, productivity, spot, hair, bill, dull, parking, monster"
288,lda_review_hotel_travel_restaurant_real,8.46,"review, hotel, travel, restaurant, real, use, home, tripadvisor, negative, paper"
289,lda_app_music_video_file_way,8.6,"app, music, video, file, way, picture, version, able, Dropbox, scripture"
