PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
1,0,3,0,-0.5924940883159844,1,0,-0.5024451714361923,0
2,1,1,1,0.6387755230775833,1,0,0.7868452935884461,1
3,1,3,1,-0.28467668546759245,0,0,-0.4888542575852486,0
4,1,1,1,0.4079124709412894,1,0,0.4207302360686478,0
5,0,3,0,0.4079124709412894,0,0,-0.4863374216869257,0
6,0,3,0,5.441216717002968e-05,0,0,-0.47811642890864375,2
7,0,1,0,1.8700451344711513,0,0,0.395813560675251,0
8,0,3,0,-2.131581102557944,3,1,-0.22408312108167944,0
9,1,3,1,-0.20772233475549448,0,2,-0.4242561406845337,0
10,1,2,1,-1.2081288940127684,1,0,-0.04295550208861426,1
11,1,3,1,-1.9776724011337483,1,1,-0.312172377522981,0
12,1,1,1,2.1778625373195433,0,0,-0.11384570873513637,0
13,0,3,0,-0.7464027897401804,0,0,-0.4863374216869257,0
14,0,3,0,0.7157298737896813,1,5,-0.01870931177853076,0
15,0,3,1,-1.2081288940127684,0,0,-0.4902797934380587,0
16,1,2,1,1.9469994851832493,0,0,-0.3262666585535892,0
17,0,3,0,-2.131581102557944,4,1,-0.06199888922968463,2
18,1,2,0,5.441216717002968e-05,0,0,-0.3866707201133388,0
19,0,3,1,0.10009506809289746,1,0,-0.2859972841804228,0
20,1,3,1,5.441216717002968e-05,0,0,-0.5029485386158568,1
21,0,2,0,0.4079124709412894,0,0,-0.12491978668775715,0
22,1,2,0,0.3309581202291914,0,0,-0.3866707201133388,0
23,1,3,1,-1.1311745433006704,0,0,-0.4867562231804066,2
24,1,1,0,-0.13076798404339648,0,0,0.06635974158478332,0
25,0,3,1,-1.6698549982853563,3,1,-0.22408312108167944,0
26,1,3,1,0.6387755230775833,1,5,-0.016444159470040135,0
27,0,3,0,5.441216717002968e-05,0,0,-0.5029485386158568,1
28,0,1,0,-0.8233571404522784,3,2,4.647001076532463,0
29,1,3,1,5.441216717002968e-05,0,0,-0.48977642625839407,2
30,0,3,0,5.441216717002968e-05,0,0,-0.4894421904510968,0
31,0,1,0,0.7926842245017793,0,0,-0.09027201697708476,1
32,1,1,1,5.441216717002968e-05,1,0,2.301728820789,1
33,1,3,1,5.441216717002968e-05,0,0,-0.49237782784290063,2
34,0,2,0,2.7934973430163272,0,0,-0.43700743807979686,0
35,0,1,0,-0.13076798404339648,1,0,1.0060617003323709,1
36,0,1,0,0.9465929259259753,1,0,0.39858208016340624,0
37,1,3,0,5.441216717002968e-05,0,0,-0.5028639729296732,1
38,0,3,0,-0.6694484390280824,0,0,-0.4863374216869257,0
39,0,3,1,-0.9003114911643764,2,0,-0.2859972841804228,0
40,1,3,1,-1.2081288940127684,1,0,-0.42207354059350805,1
41,0,3,1,0.7926842245017793,1,0,-0.4576454924460446,0
42,0,2,1,-0.20772233475549448,1,0,-0.22559322262067316,0
43,0,3,0,5.441216717002968e-05,0,0,-0.4894421904510968,1
44,1,2,1,-2.0546267518458463,1,2,0.18876253192945994,1
45,1,3,1,-0.8233571404522784,0,0,-0.48977642625839407,2
46,0,3,0,5.441216717002968e-05,0,0,-0.4863374216869257,0
47,0,3,0,5.441216717002968e-05,1,0,-0.3363340021468808,2
48,1,3,1,5.441216717002968e-05,0,0,-0.49237782784290063,2
49,0,3,0,5.441216717002968e-05,2,0,-0.21191774308354583,1
50,0,3,1,-0.9003114911643764,1,0,-0.29002422161773944,0
51,0,3,0,-1.7468093489974543,4,1,0.1506737441786005,0
52,0,3,0,-0.6694484390280824,0,0,-0.4913710934835715,0
53,1,1,1,1.4852733809106613,1,0,0.8964967865378598,1
54,1,2,1,-0.05381363333129851,1,0,-0.12491978668775715,0
55,0,1,0,2.716542992304229,0,1,0.5995101505357573,1
56,1,1,0,5.441216717002968e-05,0,0,0.06635974158478332,0
57,1,2,1,-0.6694484390280824,0,0,-0.43700743807979686,0
58,0,3,0,-0.0922908086873475,0,0,-0.5028639729296732,1
59,1,2,1,-1.9007180504216503,1,2,-0.08968408411123653,0
60,0,3,0,-1.4389919461490623,5,2,0.2958951755118318,0
61,0,3,0,-0.5924940883159844,0,0,-0.5028639729296732,1
62,1,1,1,0.6387755230775833,0,0,0.962353321387736,0
63,0,1,0,1.1774559780622693,1,0,1.0323213593611125,0
64,0,3,0,-1.9776724011337483,3,2,-0.08666388103324908,0
65,0,1,0,5.441216717002968e-05,0,0,-0.09027201697708476,1
66,1,3,0,5.441216717002968e-05,1,1,-0.3414522396297103,1
67,1,2,1,-0.05381363333129851,0,0,-0.43700743807979686,0
68,0,3,0,-0.8233571404522784,0,0,-0.4841568350646187,0
69,1,3,1,-0.9772658418764744,4,2,-0.4888542575852486,0
70,0,3,0,-0.28467668546759245,2,0,-0.47400492578514347,0
71,0,2,0,0.17704941880499545,0,0,-0.43700743807979686,0
72,0,3,1,-1.0542201925885724,5,2,0.2958951755118318,0
73,0,2,0,-0.6694484390280824,0,0,0.8314778546749452,0
74,0,3,0,-0.28467668546759245,1,0,-0.3573908580066095,1
75,1,3,0,0.17704941880499545,0,0,0.48910360681684706,0
76,0,3,0,-0.36163103617969045,0,0,-0.494391296561559,0
77,0,3,0,5.441216717002968e-05,0,0,-0.4894421904510968,0
78,0,3,0,5.441216717002968e-05,0,0,-0.4863374216869257,0
79,1,2,0,-2.221617692891099,0,2,-0.06451572512800753,0
80,1,3,1,0.02314071738079948,0,0,-0.397241430886295,0
81,0,3,0,-0.5924940883159844,0,0,-0.46720946885967163,0
82,1,3,0,-0.05381363333129851,0,0,-0.45714212526638004,0
83,1,3,1,5.441216717002968e-05,0,0,-0.49162277707340374,2
84,0,1,0,-0.13076798404339648,0,0,0.29992211294914856,0
85,1,2,1,-0.9772658418764744,0,0,-0.43700743807979686,0
86,1,3,1,0.25400376951709347,3,0,-0.32928686163157667,0
87,0,3,0,-1.0542201925885724,1,3,0.04370821849987721,0
88,0,3,0,5.441216717002968e-05,0,0,-0.4863374216869257,0
89,1,1,1,-0.5155397376038864,3,2,4.647001076532463,0
90,0,3,0,-0.43858538689178844,0,0,-0.4863374216869257,0
91,0,3,0,-0.05381363333129851,0,0,-0.4863374216869257,0
92,0,3,0,-0.7464027897401804,0,0,-0.4902797934380587,0
93,0,1,0,1.2544103287743673,1,0,0.5833178351003071,0
94,0,3,0,-0.28467668546759245,1,2,-0.23415046467497105,0
95,0,3,0,2.254816888031641,0,0,-0.5024451714361923,0
96,0,3,0,5.441216717002968e-05,0,0,-0.4863374216869257,0
97,0,1,0,3.178269096576817,0,0,0.0493298231623713,1
98,1,1,0,-0.5155397376038864,0,1,0.6272778976347743,1
99,1,2,1,0.3309581202291914,0,1,-0.18532384824750675,0
100,0,2,0,0.3309581202291914,1,0,-0.12491978668775715,0
101,0,3,1,-0.13076798404339648,0,0,-0.4894421904510968,0
102,0,3,0,5.441216717002968e-05,0,0,-0.4894421904510968,0
103,0,1,0,-0.6694484390280824,0,1,0.907737982394129,0
104,0,3,0,0.25400376951709347,0,0,-0.4741720436887921,0
105,0,3,0,0.5618211723654855,2,0,-0.4888542575852486,0
106,0,3,0,-0.13076798404339648,0,0,-0.4894421904510968,0
107,1,3,1,-0.6694484390280824,0,0,-0.494391296561559,0
108,1,3,0,5.441216717002968e-05,0,0,-0.4918744606632361,0
109,0,3,0,0.6387755230775833,0,0,-0.4894421904510968,0
110,1,3,1,5.441216717002968e-05,1,0,-0.1621689579829361,2
111,0,1,0,1.3313646794864653,0,0,0.39858208016340624,0
112,0,3,1,-1.1696517186567192,1,0,-0.3573908580066095,1
113,0,3,0,-0.5924940883159844,0,0,-0.4863374216869257,0
114,0,3,1,-0.7464027897401804,1,0,-0.4505983519307405,0
115,0,3,1,-0.9772658418764744,0,0,-0.3573083057891445,1
116,0,3,0,-0.6694484390280824,0,0,-0.4888542575852486,0
117,0,3,0,3.139791921220768,0,0,-0.49237782784290063,2
118,0,2,0,-0.05381363333129851,1,0,-0.22559322262067316,0
119,0,1,0,-0.43858538689178844,0,1,4.335332226633905,1
120,0,3,1,-2.131581102557944,4,2,-0.01870931177853076,0
121,0,2,0,-0.6694484390280824,2,0,0.8314778546749452,0
122,0,3,0,5.441216717002968e-05,0,0,-0.4863374216869257,0
123,0,2,0,0.21552659416104444,1,0,-0.04295550208861426,1
124,1,2,1,0.21552659416104444,0,0,-0.3866707201133388,0
125,0,1,0,1.8700451344711513,0,1,0.907737982394129,0
126,1,3,0,-1.3620375954369643,1,0,-0.42207354059350805,1
127,0,3,0,5.441216717002968e-05,0,0,-0.49237782784290063,2
128,1,3,0,-0.43858538689178844,0,0,-0.5046257580584992,0
129,1,3,1,5.441216717002968e-05,1,1,-0.19824427701513722,1
130,0,3,0,1.1774559780622693,0,0,-0.5079822104125026,0
131,0,3,0,0.25400376951709347,0,0,-0.4894421904510968,1
132,0,3,0,-0.7464027897401804,0,0,-0.5064721088735089,0
133,0,3,1,1.3313646794864653,1,0,-0.35646868933346404,0
134,1,2,1,-0.05381363333129851,1,0,-0.12491978668775715,0
135,0,2,0,-0.36163103617969045,0,0,-0.3866707201133388,0
136,0,2,0,-0.5155397376038864,0,0,-0.3454791770670269,1
137,1,1,1,-0.8233571404522784,0,2,-0.11921562980779811,0
138,0,1,0,0.5618211723654855,1,0,0.4207302360686478,0
139,0,3,0,-1.0542201925885724,0,0,-0.4628462821463391,0
140,0,1,0,-0.43858538689178844,0,0,0.9462455716384695,1
141,0,3,1,5.441216717002968e-05,0,2,-0.3414522396297103,1
142,1,3,1,-0.5924940883159844,0,0,-0.49237782784290063,0
143,1,3,1,-0.43858538689178844,1,0,-0.32928686163157667,0
144,0,3,0,-0.8233571404522784,0,0,-0.5125125150294839,2
145,0,2,0,-0.9003114911643764,0,0,-0.41687275089321363,0
146,0,2,0,-0.8233571404522784,1,1,0.09152810056801232,0
147,1,3,0,-0.20772233475549448,0,0,-0.49145565916975514,0
148,0,3,1,-1.5929006475732583,2,2,0.04370821849987721,0
149,0,2,0,0.5233439970094365,0,2,-0.12491978668775715,0
150,0,2,0,0.9465929259259753,0,0,-0.3866707201133388,0
151,0,2,0,1.6391820823348573,0,0,-0.39623469652696586,0
152,1,1,1,-0.5924940883159844,1,0,0.6925485130875209,0
153,0,3,0,1.9854766605392982,0,0,-0.4863374216869257,0
154,0,3,0,0.8311613998578283,0,2,-0.35646868933346404,0
155,0,3,0,5.441216717002968e-05,0,0,-0.5011867534870308,0
156,0,1,0,1.6391820823348573,0,1,0.5874293382238074,1
157,1,3,1,-1.0542201925885724,0,0,-0.49271407711891657,2
158,0,3,0,0.02314071738079948,0,0,-0.4863374216869257,0
159,0,3,0,5.441216717002968e-05,0,0,-0.47400492578514347,0
160,0,3,0,5.441216717002968e-05,8,2,0.7519458402879414,0
161,0,3,0,1.1005016273501713,0,1,-0.32425318983493084,0
162,1,2,1,0.7926842245017793,0,0,-0.331300330350235,0
163,0,3,0,-0.28467668546759245,0,0,-0.4918744606632361,0
164,0,3,0,-0.9772658418764744,0,0,-0.47400492578514347,0
165,0,3,0,-2.2085354532700423,4,1,0.1506737441786005,0
166,1,3,0,-1.5929006475732583,0,2,-0.2351571990343002,0
167,1,1,1,5.441216717002968e-05,0,1,0.4589861417231558,0
168,0,3,1,1.1774559780622693,1,4,-0.08666388103324908,0
169,0,1,0,5.441216717002968e-05,0,0,-0.12642988822675086,0
170,0,3,0,-0.13076798404339648,0,0,0.48910360681684706,0
